missing_value,normalization,fselection,outlier,whitespace,punctuation,stopword,deduplication,model,utility_rmse
1,4,1,3,2,1,2,2,1,230.6881023763281
1,4,1,3,2,2,1,1,1,151.79017781958993
1,4,1,3,2,2,1,2,1,230.6881023763281
1,4,1,3,2,2,2,1,1,151.79017781958993
1,4,1,3,2,2,2,2,1,230.6881023763281
1,4,1,4,1,1,1,1,1,190.88410706211363
1,4,1,4,1,1,1,2,1,286.7974500587305
1,4,1,4,1,1,2,1,1,190.88410706211363
1,4,1,4,1,1,2,2,1,286.7974500587305
1,4,1,4,1,2,1,1,1,190.88410706211363
1,4,1,4,1,2,1,2,1,286.7974500587305
1,4,1,4,1,2,2,1,1,190.88410706211363
1,4,1,4,1,2,2,2,1,286.7974500587305
1,4,1,4,2,1,1,1,1,190.88410706211363
1,4,1,4,2,1,1,2,1,286.7974500587305
1,4,1,4,2,1,2,1,1,190.88410706211363
1,4,1,4,2,1,2,2,1,286.7974500587305
1,4,1,4,2,2,1,1,1,190.88410706211363
1,4,1,4,2,2,1,2,1,286.7974500587305
1,4,1,4,2,2,2,1,1,190.88410706211363
1,4,1,4,2,2,2,2,1,286.7974500587305
1,4,1,5,1,1,1,1,1,177.86040982468677
1,4,1,5,1,1,1,2,1,287.3555098299304
1,4,1,5,1,1,2,1,1,177.86040982468677
1,4,1,5,1,1,2,2,1,287.3555098299304
1,4,1,5,1,2,1,1,1,177.86040982468677
1,4,1,5,1,2,1,2,1,287.3555098299304
1,4,1,5,1,2,2,1,1,177.86040982468677
1,4,1,5,1,2,2,2,1,287.3555098299304
1,4,1,5,2,1,1,1,1,177.86040982468677
1,4,1,5,2,1,1,2,1,287.3555098299304
1,4,1,5,2,1,2,1,1,177.86040982468677
1,4,1,5,2,1,2,2,1,287.3555098299304
1,4,1,5,2,2,1,1,1,177.86040982468677
1,4,1,5,2,2,1,2,1,287.3555098299304
1,4,1,5,2,2,2,1,1,177.86040982468677
1,4,1,5,2,2,2,2,1,287.3555098299304
1,4,1,6,1,1,1,1,1,179.31625043877943
1,4,1,6,1,1,1,2,1,285.8748708685846
1,4,1,6,1,1,2,1,1,179.31625043877943
1,4,1,6,1,1,2,2,1,285.8748708685846
1,4,1,6,1,2,1,1,1,179.31625043877943
1,4,1,6,1,2,1,2,1,285.8748708685846
1,4,1,6,1,2,2,1,1,179.31625043877943
1,4,1,6,1,2,2,2,1,285.8748708685846
1,4,1,6,2,1,1,1,1,179.31625043877943
1,4,1,6,2,1,1,2,1,285.8748708685846
1,4,1,6,2,1,2,1,1,179.31625043877943
1,4,1,6,2,1,2,2,1,285.8748708685846
1,4,1,6,2,2,1,1,1,179.31625043877943
1,4,1,6,2,2,1,2,1,285.8748708685846
1,4,1,6,2,2,2,1,1,179.31625043877943
1,4,1,6,2,2,2,2,1,285.8748708685846
1,4,1,7,1,1,1,1,1,180.87466466688923
1,4,1,7,1,1,1,2,1,288.460434943349
1,4,1,7,1,1,2,1,1,180.87466466688923
1,4,1,7,1,1,2,2,1,288.460434943349
1,4,1,7,1,2,1,1,1,180.87466466688923
1,4,1,7,1,2,1,2,1,288.460434943349
1,4,1,7,1,2,2,1,1,180.87466466688923
1,4,1,7,1,2,2,2,1,288.460434943349
1,4,1,7,2,1,1,1,1,180.87466466688923
1,4,1,7,2,1,1,2,1,288.460434943349
1,4,1,7,2,1,2,1,1,180.87466466688923
1,4,1,7,2,1,2,2,1,288.460434943349
1,4,1,7,2,2,1,1,1,180.87466466688923
1,4,1,7,2,2,1,2,1,288.460434943349
1,4,1,7,2,2,2,1,1,180.87466466688923
1,4,1,7,2,2,2,2,1,288.460434943349
1,4,1,8,1,1,1,1,1,192.1071765720795
1,4,1,8,1,1,1,2,1,262.24256477609845
1,4,1,8,1,1,2,1,1,192.1071765720795
1,4,1,8,1,1,2,2,1,262.24256477609845
1,4,1,8,1,2,1,1,1,192.1071765720795
1,4,1,8,1,2,1,2,1,262.24256477609845
1,4,1,8,1,2,2,1,1,192.1071765720795
1,4,1,8,1,2,2,2,1,262.24256477609845
1,4,1,8,2,1,1,1,1,192.1071765720795
1,4,1,8,2,1,1,2,1,262.24256477609845
1,4,1,8,2,1,2,1,1,192.1071765720795
1,4,1,8,2,1,2,2,1,262.24256477609845
1,4,1,8,2,2,1,1,1,192.1071765720795
1,4,1,8,2,2,1,2,1,262.24256477609845
1,4,1,8,2,2,2,1,1,192.1071765720795
1,4,1,8,2,2,2,2,1,262.24256477609845
1,5,1,1,1,1,1,1,1,188.79983416185624
1,5,1,1,1,1,1,2,1,282.4841684920953
1,5,1,1,1,1,2,1,1,188.79983416185624
1,5,1,1,1,1,2,2,1,282.4841684920953
1,5,1,1,1,2,1,1,1,188.79983416185624
1,5,1,1,1,2,1,2,1,282.4841684920953
1,5,1,1,1,2,2,1,1,188.79983416185624
1,5,1,1,1,2,2,2,1,282.4841684920953
1,5,1,1,2,1,1,1,1,188.79983416185624
1,5,1,1,2,1,1,2,1,282.4841684920953
1,5,1,1,2,1,2,1,1,188.79983416185624
1,5,1,1,2,1,2,2,1,282.4841684920953
1,5,1,1,2,2,1,1,1,188.79983416185624
1,5,1,1,2,2,1,2,1,282.4841684920953
