missing_value,normalization,fselection,outlier,whitespace,punctuation,stopword,deduplication,model,utility_rmse
1,3,1,2,1,2,2,1,1,155.5133505394992
1,3,1,2,1,2,2,2,1,236.807770574814
1,3,1,2,2,1,1,1,1,155.5133505394992
1,3,1,2,2,1,1,2,1,236.807770574814
1,3,1,2,2,1,2,1,1,155.5133505394992
1,3,1,2,2,1,2,2,1,236.807770574814
1,3,1,2,2,2,1,1,1,155.5133505394992
1,3,1,2,2,2,1,2,1,236.807770574814
1,3,1,2,2,2,2,1,1,155.5133505394992
1,3,1,2,2,2,2,2,1,236.807770574814
1,3,1,3,1,1,1,1,1,148.58902162389663
1,3,1,3,1,1,1,2,1,229.7484527766584
1,3,1,3,1,1,2,1,1,148.58902162389663
1,3,1,3,1,1,2,2,1,229.7484527766584
1,3,1,3,1,2,1,1,1,148.58902162389663
1,3,1,3,1,2,1,2,1,229.7484527766584
1,3,1,3,1,2,2,1,1,148.58902162389663
1,3,1,3,1,2,2,2,1,229.7484527766584
1,3,1,3,2,1,1,1,1,148.58902162389663
1,3,1,3,2,1,1,2,1,229.7484527766584
1,3,1,3,2,1,2,1,1,148.58902162389663
1,3,1,3,2,1,2,2,1,229.7484527766584
1,3,1,3,2,2,1,1,1,148.58902162389663
1,3,1,3,2,2,1,2,1,229.7484527766584
1,3,1,3,2,2,2,1,1,148.58902162389663
1,3,1,3,2,2,2,2,1,229.7484527766584
1,3,1,4,1,1,1,1,1,189.95967735291796
1,3,1,4,1,1,1,2,1,279.73493116455023
1,3,1,4,1,1,2,1,1,189.95967735291796
1,3,1,4,1,1,2,2,1,279.73493116455023
1,3,1,4,1,2,1,1,1,189.95967735291796
1,3,1,4,1,2,1,2,1,279.73493116455023
1,3,1,4,1,2,2,1,1,189.95967735291796
1,3,1,4,1,2,2,2,1,279.73493116455023
1,3,1,4,2,1,1,1,1,189.95967735291796
1,3,1,4,2,1,1,2,1,279.73493116455023
1,3,1,4,2,1,2,1,1,189.95967735291796
1,3,1,4,2,1,2,2,1,279.73493116455023
1,3,1,4,2,2,1,1,1,189.95967735291796
1,3,1,4,2,2,1,2,1,279.73493116455023
1,3,1,4,2,2,2,1,1,189.95967735291796
1,3,1,4,2,2,2,2,1,279.73493116455023
1,3,1,5,1,1,1,1,1,171.13347493267298
1,3,1,5,1,1,1,2,1,271.7612342283095
1,3,1,5,1,1,2,1,1,171.13347493267298
1,3,1,5,1,1,2,2,1,271.7612342283095
1,3,1,5,1,2,1,1,1,171.13347493267298
1,3,1,5,1,2,1,2,1,271.7612342283095
1,3,1,5,1,2,2,1,1,171.13347493267298
1,3,1,5,1,2,2,2,1,271.7612342283095
1,3,1,5,2,1,1,1,1,171.13347493267298
1,3,1,5,2,1,1,2,1,271.7612342283095
1,3,1,5,2,1,2,1,1,171.13347493267298
1,3,1,5,2,1,2,2,1,271.7612342283095
1,3,1,5,2,2,1,1,1,171.13347493267298
1,3,1,5,2,2,1,2,1,271.7612342283095
1,3,1,5,2,2,2,1,1,171.13347493267298
1,3,1,5,2,2,2,2,1,271.7612342283095
1,3,1,6,1,1,1,1,1,172.25212532886107
1,3,1,6,1,1,1,2,1,257.8517488545039
1,3,1,6,1,1,2,1,1,172.25212532886107
1,3,1,6,1,1,2,2,1,257.8517488545039
1,3,1,6,1,2,1,1,1,172.25212532886107
1,3,1,6,1,2,1,2,1,257.8517488545039
1,3,1,6,1,2,2,1,1,172.25212532886107
1,3,1,6,1,2,2,2,1,257.8517488545039
1,3,1,6,2,1,1,1,1,172.25212532886107
1,3,1,6,2,1,1,2,1,257.8517488545039
1,3,1,6,2,1,2,1,1,172.25212532886107
1,3,1,6,2,1,2,2,1,257.8517488545039
1,3,1,6,2,2,1,1,1,172.25212532886107
1,3,1,6,2,2,1,2,1,257.8517488545039
1,3,1,6,2,2,2,1,1,172.25212532886107
1,3,1,6,2,2,2,2,1,257.8517488545039
1,3,1,7,1,1,1,1,1,171.2953013733695
1,3,1,7,1,1,1,2,1,256.1198590997161
1,3,1,7,1,1,2,1,1,171.2953013733695
1,3,1,7,1,1,2,2,1,256.1198590997161
1,3,1,7,1,2,1,1,1,171.2953013733695
1,3,1,7,1,2,1,2,1,256.1198590997161
1,3,1,7,1,2,2,1,1,171.2953013733695
1,3,1,7,1,2,2,2,1,256.1198590997161
1,3,1,7,2,1,1,1,1,171.2953013733695
1,3,1,7,2,1,1,2,1,256.1198590997161
1,3,1,7,2,1,2,1,1,171.2953013733695
1,3,1,7,2,1,2,2,1,256.1198590997161
1,3,1,7,2,2,1,1,1,171.2953013733695
1,3,1,7,2,2,1,2,1,256.1198590997161
1,3,1,7,2,2,2,1,1,171.2953013733695
1,3,1,7,2,2,2,2,1,256.1198590997161
1,3,1,8,1,1,1,1,1,170.89584146885642
1,3,1,8,1,1,1,2,1,252.96570860841513
1,3,1,8,1,1,2,1,1,170.89584146885642
1,3,1,8,1,1,2,2,1,252.96570860841513
1,3,1,8,1,2,1,1,1,170.89584146885642
1,3,1,8,1,2,1,2,1,252.96570860841513
1,3,1,8,1,2,2,1,1,170.89584146885642
1,3,1,8,1,2,2,2,1,252.96570860841513
1,3,1,8,2,1,1,1,1,170.89584146885642
1,3,1,8,2,1,1,2,1,252.96570860841513
1,3,1,8,2,1,2,1,1,170.89584146885642
1,3,1,8,2,1,2,2,1,252.96570860841513
1,3,1,8,2,2,1,1,1,170.89584146885642
1,3,1,8,2,2,1,2,1,252.96570860841513
1,3,1,8,2,2,2,1,1,170.89584146885642
1,3,1,8,2,2,2,2,1,252.96570860841513
1,4,1,1,1,1,1,1,1,190.17612341332608
1,4,1,1,1,1,1,2,1,285.87030819265823
