missing_value,normalization,outlier,whitespace,punctuation,stopword,deduplication,model,utility_accuracy_score
1,3,1,2,2,2,2,1,0.09677419354838712
1,3,2,1,1,1,1,1,0.060194174757281504
1,3,2,1,1,1,2,1,0.056140350877192935
1,3,2,1,1,2,1,1,0.060194174757281504
1,3,2,1,1,2,2,1,0.056140350877192935
1,3,2,1,2,1,1,1,0.060194174757281504
1,3,2,1,2,1,2,1,0.056140350877192935
1,3,2,1,2,2,1,1,0.060194174757281504
1,3,2,1,2,2,2,1,0.056140350877192935
1,3,2,2,1,1,1,1,0.060194174757281504
1,3,2,2,1,1,2,1,0.056140350877192935
1,3,2,2,1,2,1,1,0.060194174757281504
1,3,2,2,1,2,2,1,0.056140350877192935
1,3,2,2,2,1,1,1,0.060194174757281504
1,3,2,2,2,1,2,1,0.056140350877192935
1,3,2,2,2,2,1,1,0.060194174757281504
1,3,2,2,2,2,2,1,0.056140350877192935
1,3,3,1,1,1,1,1,0.07986688851913482
1,3,3,1,1,1,2,1,0.08446866485013627
1,3,3,1,1,2,1,1,0.07986688851913482
1,3,3,1,1,2,2,1,0.08446866485013627
1,3,3,1,2,1,1,1,0.07986688851913482
1,3,3,1,2,1,2,1,0.08446866485013627
1,3,3,1,2,2,1,1,0.07986688851913482
1,3,3,1,2,2,2,1,0.08446866485013627
1,3,3,2,1,1,1,1,0.07986688851913482
1,3,3,2,1,1,2,1,0.08446866485013627
1,3,3,2,1,2,1,1,0.07986688851913482
1,3,3,2,1,2,2,1,0.08446866485013627
1,3,3,2,2,1,1,1,0.07986688851913482
1,3,3,2,2,1,2,1,0.08446866485013627
1,3,3,2,2,2,1,1,0.07986688851913482
1,3,3,2,2,2,2,1,0.08446866485013627
1,3,4,1,1,1,1,1,0.09090909090909094
1,3,4,1,1,1,2,1,0.10416666666666663
1,3,4,1,1,2,1,1,0.09090909090909094
1,3,4,1,1,2,2,1,0.10416666666666663
1,3,4,1,2,1,1,1,0.09090909090909094
1,3,4,1,2,1,2,1,0.10416666666666663
1,3,4,1,2,2,1,1,0.09090909090909094
1,3,4,1,2,2,2,1,0.10416666666666663
1,3,4,2,1,1,1,1,0.09090909090909094
1,3,4,2,1,1,2,1,0.10416666666666663
1,3,4,2,1,2,1,1,0.09090909090909094
1,3,4,2,1,2,2,1,0.10416666666666663
1,3,4,2,2,1,1,1,0.09090909090909094
1,3,4,2,2,1,2,1,0.10416666666666663
1,3,4,2,2,2,1,1,0.09090909090909094
1,3,4,2,2,2,2,1,0.10416666666666663
1,3,5,1,1,1,1,1,0.08365758754863817
1,3,5,1,1,1,2,1,0.09634551495016608
1,3,5,1,1,2,1,1,0.08365758754863817
1,3,5,1,1,2,2,1,0.09634551495016608
1,3,5,1,2,1,1,1,0.08365758754863817
1,3,5,1,2,1,2,1,0.09634551495016608
1,3,5,1,2,2,1,1,0.08365758754863817
1,3,5,1,2,2,2,1,0.09634551495016608
1,3,5,2,1,1,1,1,0.08365758754863817
1,3,5,2,1,1,2,1,0.09634551495016608
1,3,5,2,1,2,1,1,0.08365758754863817
1,3,5,2,1,2,2,1,0.09634551495016608
1,3,5,2,2,1,1,1,0.08365758754863817
1,3,5,2,2,1,2,1,0.09634551495016608
1,3,5,2,2,2,1,1,0.08365758754863817
1,3,5,2,2,2,2,1,0.09634551495016608
1,3,6,1,1,1,1,1,0.08949416342412453
1,3,6,1,1,1,2,1,0.10197368421052633
1,3,6,1,1,2,1,1,0.08949416342412453
1,3,6,1,1,2,2,1,0.10197368421052633
1,3,6,1,2,1,1,1,0.08949416342412453
1,3,6,1,2,1,2,1,0.10197368421052633
1,3,6,1,2,2,1,1,0.08949416342412453
1,3,6,1,2,2,2,1,0.10197368421052633
1,3,6,2,1,1,1,1,0.08949416342412453
1,3,6,2,1,1,2,1,0.10197368421052633
1,3,6,2,1,2,1,1,0.08949416342412453
1,3,6,2,1,2,2,1,0.10197368421052633
1,3,6,2,2,1,1,1,0.08949416342412453
1,3,6,2,2,1,2,1,0.10197368421052633
1,3,6,2,2,2,1,1,0.08949416342412453
1,3,6,2,2,2,2,1,0.10197368421052633
1,3,7,1,1,1,1,1,0.07587548638132291
1,3,7,1,1,1,2,1,0.08417508417508412
1,3,7,1,1,2,1,1,0.07587548638132291
1,3,7,1,1,2,2,1,0.08417508417508412
1,3,7,1,2,1,1,1,0.07587548638132291
1,3,7,1,2,1,2,1,0.08417508417508412
1,3,7,1,2,2,1,1,0.07587548638132291
1,3,7,1,2,2,2,1,0.08417508417508412
1,3,7,2,1,1,1,1,0.07587548638132291
1,3,7,2,1,1,2,1,0.08417508417508412
1,3,7,2,1,2,1,1,0.07587548638132291
1,3,7,2,1,2,2,1,0.08417508417508412
1,3,7,2,2,1,1,1,0.07587548638132291
1,3,7,2,2,1,2,1,0.08417508417508412
1,3,7,2,2,2,1,1,0.07587548638132291
1,3,7,2,2,2,2,1,0.08417508417508412
1,3,8,1,1,1,1,1,0.06420233463035019
1,3,8,1,1,1,2,1,0.059859154929577496
1,3,8,1,1,2,1,1,0.06420233463035019
1,3,8,1,1,2,2,1,0.059859154929577496
1,3,8,1,2,1,1,1,0.06420233463035019
1,3,8,1,2,1,2,1,0.059859154929577496
1,3,8,1,2,2,1,1,0.06420233463035019
1,3,8,1,2,2,2,1,0.059859154929577496
1,3,8,2,1,1,1,1,0.06420233463035019
1,3,8,2,1,1,2,1,0.059859154929577496
1,3,8,2,1,2,1,1,0.06420233463035019
1,3,8,2,1,2,2,1,0.059859154929577496
1,3,8,2,2,1,1,1,0.06420233463035019
1,3,8,2,2,1,2,1,0.059859154929577496
1,3,8,2,2,2,1,1,0.06420233463035019
1,3,8,2,2,2,2,1,0.059859154929577496
1,4,1,1,1,1,1,1,0.09486780715396581
1,4,1,1,1,1,2,1,0.09677419354838712
1,4,1,1,1,2,1,1,0.09486780715396581
1,4,1,1,1,2,2,1,0.09677419354838712
1,4,1,1,2,1,1,1,0.09486780715396581
1,4,1,1,2,1,2,1,0.09677419354838712
1,4,1,1,2,2,1,1,0.09486780715396581
1,4,1,1,2,2,2,1,0.09677419354838712
1,4,1,2,1,1,1,1,0.09486780715396581
1,4,1,2,1,1,2,1,0.09677419354838712
1,4,1,2,1,2,1,1,0.09486780715396581
1,4,1,2,1,2,2,1,0.09677419354838712
1,4,1,2,2,1,1,1,0.09486780715396581
