missing_value,normalization,outlier,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
4,1,3,1,0.14062020264046668,0.14062020264046668,0.18086,2.07364,0.0397178626212306,3.786697247706422,18963.47,0.4,53.92,0.0,9168.96,0.33,220.62,0.0,45664.16,0.24,381.79,0.0,266.33,0.0,422.3,0.0,23.95,0.0,89.58,0.0,550.88,1.0,550.88,1.0,124902.09,0.23,43.21,0.0,0.07239925023430177
4,1,4,1,0.14062020264046668,0.14062020264046668,0.20814,2.05686,0.04583269537542683,3.1423785594639866,19520.25,0.43,88.78,0.0,8372.59,0.28,319.67,0.0,38114.57,0.28,457.99,0.0,367.97,0.0,508.42,0.0,30.03,0.0,127.63,0.0,52.11,0.08,74.59,0.03,26602.99,0.29,54.64,0.0,0.058216756204240744
4,1,5,1,0.14062020264046668,0.14062020264046668,0.18701,2.01826,0.04144621570979906,3.554294975688817,21051.31,0.41,89.46,0.0,9340.87,0.3,351.21,0.0,42405.45,0.29,495.58,0.0,401.73,0.0,551.26,0.0,32.91,0.0,125.97,0.0,37.79,0.04,13.27,0.0,28672.59,0.3,56.3,0.0,0.019137404828882057
4,1,6,1,0.14062020264046668,0.14062020264046668,0.17846,2.01141,0.03959686182192764,3.8464106844741237,21582.61,0.46,86.97,0.0,9725.43,0.31,341.41,0.0,43594.96,0.29,501.8,0.0,412.41,0.0,552.26,0.0,30.33,0.0,124.14,0.0,25.42,0.02,21.73,0.01,28796.2,0.26,53.49,0.0,0.017868110139332635
4,1,7,1,0.14062020264046668,0.14062020264046668,0.16821,1.97568,0.03754526250163516,4.107826086956522,21666.27,0.49,79.33,0.0,10136.03,0.31,328.96,0.0,44314.24,0.29,502.49,0.0,396.35,0.0,555.51,0.0,28.74,0.0,116.7,0.0,22.88,0.02,51.49,0.02,29303.82,0.28,52.57,0.0,0.004038656379081913
4,1,8,1,0.14062020264046668,0.14062020264046668,0.17156,1.99193,0.038187991707118354,4.103270223752151,21851.88,0.45,76.65,0.0,10973.16,0.33,315.06,0.0,44797.81,0.29,506.19,0.0,390.56,0.0,561.99,0.0,25.12,0.0,122.16,0.0,35.83,0.02,79.95,0.03,29470.37,0.26,54.56,0.0,0.034590953842945166
4,2,1,1,0.14062020264046668,0.14062020264046668,0.19398,2.06975,0.04261884627251522,3.1810012836970474,157.59,0.43,103.98,0.32,157.59,0.27,412.33,0.29,157.59,0.29,595.93,0.2,467.45,0.43,656.42,0.34,34.52,0.15,146.86,0.33,157.59,0.09,157.59,0.04,157.59,0.31,58.36,0.1,0.17420715240974508
4,2,2,1,0.14062020264046668,0.14062020264046668,0.22421,2.62309,0.04482060671460716,3.1153238546603474,242.79,0.43,79.69,0.28,213.92,0.3,295.17,0.24,87.72,0.24,499.21,0.16,362.67,0.42,546.55,0.3,16.86,0.08,141.04,0.28,1033.9,0.07,376.67,0.02,106.34,0.31,32.84,0.03,0.1953992304027775
4,2,3,1,0.14062020264046668,0.14062020264046668,0.19513,2.21922,0.04182518778655744,3.3934426229508197,162.83,0.31,0.0,1.0,173.74,0.34,80.68,0.42,6.41,0.17,210.6,0.21,121.45,0.48,228.75,0.29,0.0,1.0,48.62,0.31,852.18,1.0,1138.7,1.0,90.31,0.24,0.0,1.0,0.15908195069223485
4,2,4,1,0.14062020264046668,0.14062020264046668,0.19039,1.96663,0.04256041696002611,3.1973018549747048,139.55,0.47,67.31,0.31,131.84,0.29,338.38,0.29,118.48,0.29,485.21,0.2,351.06,0.42,515.92,0.34,28.17,0.15,110.04,0.34,151.35,0.08,126.95,0.04,135.48,0.28,52.06,0.09,0.1751117853144075
4,2,5,1,0.14062020264046668,0.14062020264046668,0.19974,2.0497,0.04403464437934902,3.1191780821917807,142.24,0.4,98.46,0.31,180.79,0.3,402.01,0.29,133.06,0.29,565.12,0.2,444.31,0.43,617.23,0.33,31.3,0.15,142.74,0.33,161.48,0.08,166.4,0.04,164.78,0.29,50.97,0.09,0.1828102088316089
4,2,6,1,0.14062020264046668,0.14062020264046668,0.19693,2.07087,0.04326008500423375,3.1823056300268098,156.73,0.43,92.64,0.32,181.47,0.31,408.87,0.29,141.62,0.29,585.88,0.2,452.29,0.43,642.64,0.34,32.19,0.15,144.97,0.33,155.7,0.08,182.13,0.04,169.32,0.33,51.46,0.09,0.17766309391934373
4,2,7,1,0.14062020264046668,0.14062020264046668,0.19607,2.04123,0.043284466772687435,3.201324503311258,167.5,0.44,94.31,0.32,190.71,0.31,409.44,0.29,150.16,0.29,594.97,0.2,461.62,0.43,655.42,0.34,32.62,0.14,147.3,0.33,161.81,0.08,188.7,0.04,189.82,0.29,51.95,0.09,0.1769284775327881
4,2,8,1,0.14062020264046668,0.14062020264046668,0.19701,2.03359,0.043549649806382415,3.2948369565217392,163.03,0.41,92.87,0.32,190.36,0.33,381.95,0.29,156.47,0.29,612.14,0.2,448.71,0.43,668.8,0.34,33.01,0.14,150.68,0.33,1225.14,0.08,179.75,0.04,194.57,0.32,52.78,0.09,0.17844581380961397
4,3,1,1,0.14062020264046668,0.14062020264046668,0.19398,2.06975,0.04261884627251522,3.1810012836970474,153.88,0.43,103.98,0.32,78.33,0.27,412.33,0.29,181.21,0.29,595.93,0.2,467.45,0.43,656.42,0.34,34.52,0.15,146.86,0.33,69.76,0.09,135.63,0.04,27.3,0.31,58.36,0.1,0.15934936110381484
4,3,2,1,0.14062020264046668,0.14062020264046668,0.22421,2.62309,0.04482060671460716,3.1153238546603474,227.74,0.43,79.69,0.28,119.44,0.3,295.17,0.24,106.55,0.24,499.21,0.16,362.67,0.42,546.55,0.3,16.86,0.08,141.04,0.28,129.81,0.07,60.68,0.02,8.66,0.31,32.84,0.03,0.19328645151965218
