missing_value,normalization,outlier,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,corr_Workclass,corr_fnlwgt,corr_Education,corr_Education_Num,corr_Martial_Status,corr_Occupation,corr_Relationship,corr_Race,corr_Sex,corr_Capital_Gain,corr_Capital_Loss,corr_Hours_per_week,corr_Country,utility_sp
2,3,7,1,0.5000307106443094,0.49173883668079355,0.19214,1.99119,0.04276429861809609,0.22204,553.00207,542.58656,406.51487,1958.95943,719.62564,2767.3877,1857.01156,3265.98302,155.6386,719.74502,267.24989,586.37186,69.26833,150.91612,0.16823052162842556
2,4,1,1,0.5000307106443094,0.4999692893556907,0.19098,2.00332,0.042419081225051385,0.23623,3018.2307,571.81821,1045.30995,2114.18863,12216.24514,2877.52142,1967.0139,3391.24845,161.4409,729.92987,4442.92282,3846.58617,2446.99475,167.7667,0.1712324997630455
2,4,2,1,0.5000307106443094,0.4999692893556907,0.22161,2.56654,0.044717120496871,0.19133,2128.72201,346.29024,885.04474,1350.99386,10331.86209,2405.79783,1406.41203,2788.52208,100.19643,708.08031,3880.17028,3598.46034,2173.78306,110.03981,0.18908246975857224
2,4,3,1,0.5000307106443094,0.4999692893556907,0.19273,2.04185,0.04253316836708324,0.17112,2199.43406,455.56821,781.54277,1562.29163,8905.15163,2129.80266,1462.97974,2510.90163,123.9905,538.89166,3231.38709,2811.16443,1831.36741,139.37638,0.17185160507325853
2,4,4,1,0.5000307106443094,0.4999692893556907,0.19516,2.0559,0.042968707706282146,0.21454,2388.1858,534.14119,1096.53233,1894.16747,10118.52136,2561.72766,1803.20873,3036.85069,149.00442,646.07771,4125.50498,3591.74209,1921.05308,152.69809,0.18165259191724809
2,4,5,1,0.5000307106443094,0.4999692893556907,0.19787,2.04672,0.04363117189759171,0.21995,2464.18298,530.73093,1120.05412,1900.24087,10335.58906,2633.91515,1782.99493,3122.48136,167.40024,680.48623,4252.13753,3705.65922,1957.3389,149.81984,0.18412486854025012
2,4,6,1,0.5000307106443094,0.4999692893556907,0.19943,2.00201,0.04430563644824418,0.22173,2624.87902,527.8851,1083.75591,1909.54679,10854.03124,2713.02337,1812.75554,3210.0403,176.34498,718.59582,4287.71009,3764.56742,2088.97902,155.27787,0.18465605401956411
2,4,7,1,0.5000307106443094,0.4999692893556907,0.20103,1.98345,0.04479911688181754,0.22345,2695.72364,522.23014,1069.03095,1943.36112,11169.42528,2755.94788,1846.52407,3263.90007,174.80675,746.09177,4306.99764,3829.66708,2158.383,147.90535,0.1839050015450492
2,5,1,1,0.5000307106443094,0.5000307106443094,0.19098,2.00332,0.042419081225051385,0.23623,288.78009,571.81821,1203.06599,2114.18863,10548.83194,2877.52142,1967.0139,3391.24845,161.4409,729.92987,4442.92282,3846.58617,2274.14021,167.7667,0.17132458079435303
2,5,2,1,0.5000307106443094,0.5000307106443094,0.22161,2.56654,0.044717120496871,0.19133,134.42676,346.29024,1014.50238,1350.99386,9005.3103,2405.79783,1406.41203,2788.52208,100.19643,708.08031,3880.17028,3598.46034,2030.32417,110.03981,0.1897084083304694
