missing_value,normalization,outlier,out_before_out_strat,out_before_norm_strat,class_imbalance_ratio,corr_race,ot_race,corr_gender,ot_gender,corr_loan_type,ot_loan_type,corr_applicant_age,ot_applicant_age,corr_lien_status,ot_lien_status,corr_LV,ot_LV,corr_DI,ot_DI,corr_income_brackets,ot_income_brackets,fairness
2,1,1,0.4961089494163424,0.4961089494163424,0.89844,53.79062,0.0,0.82577,0.0,8.58089,0.0,2.73579,0.0,26.60844,0.0,22.06241,0.0,356.61104,0.0,82.63362,0.0,0.10038910505836574
2,1,2,0.4961089494163424,0.4961089494163424,0.65136,34.03573,30.0,0.47839,30.0,5.29391,30.0,0.2305,30.0,9.7417,30.0,11.98619,30.0,169.07408,30.0,10.61263,30.0,0.06948304613674261
2,1,3,0.4961089494163424,0.4961089494163424,0.7677,38.70814,15.4864,2.62148,15.4864,9.45939,15.4864,1.35324,15.4864,21.50966,15.4864,15.65847,15.4864,293.03828,15.4864,92.34136,15.4864,0.09162062615101285
2,1,4,0.4961089494163424,0.4961089494163424,0.62763,30.96205,30.0,0.88878,30.0,2.72481,30.0,5.55973,30.0,33.91425,30.0,18.0605,30.0,226.71418,30.0,71.3683,30.0,0.10116731517509725
2,1,5,0.4961089494163424,0.4961089494163424,0.63619,24.81214,30.0,0.24246,30.0,4.23969,30.0,1.66446,30.0,24.28996,30.0,12.44208,30.0,225.92608,30.0,59.38746,30.0,0.08949416342412453
2,1,6,0.4961089494163424,0.4961089494163424,0.64436,20.38765,30.0,0.0,30.0,7.02769,30.0,3.62891,30.0,4.9985,30.0,10.27953,30.0,130.94823,30.0,21.35358,30.0,0.07948860478043362
2,1,7,0.4961089494163424,0.4961089494163424,0.65409,25.00072,29.8833,0.70141,29.8833,10.7879,29.8833,1.18159,29.8833,8.70052,29.8833,8.82105,29.8833,68.00148,29.8833,15.67194,29.8833,0.06714761376248612
2,1,8,0.4961089494163424,0.4961089494163424,0.65409,29.18801,30.0,0.0,30.0,9.48143,30.0,2.25008,30.0,6.68124,30.0,9.09199,30.0,58.91974,30.0,24.60338,30.0,0.06559199555308504
2,1,9,0.4961089494163424,0.4961089494163424,0.65409,35.16874,30.0,0.19534,30.0,13.41422,30.0,0.0316,30.0,8.08322,30.0,13.17003,30.0,64.95288,30.0,16.08715,30.0,0.06559199555308504
2,1,10,0.4961089494163424,0.4961089494163424,0.65331,40.13668,30.0,0.19061,30.0,14.41241,30.0,1.11613,30.0,6.93656,30.0,15.56603,30.0,90.95859,30.0,14.79167,30.0,0.06670372429127291
