sampling,invalid_value,missing_value,floating_point,unit_converter,distribution_shape,multicollinearity,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,class_imbalance_ratio,corr_race,ot_race,corr_gender,ot_gender,corr_loan_type,ot_loan_type,corr_applicant_age,ot_applicant_age,corr_lien_status,ot_lien_status,corr_LV,ot_LV,corr_DI,ot_DI,corr_income_brackets,ot_income_brackets,utility_accuracy_score
1,3,4,4,2,4,1,3,1,2,1,2,1,1,0.26186770428015566,0.26186770428015566,8.846743295019158,12472.04,0.34,3.39,0.05,11152.33,0.24,2592.36,0.34,188.67,0.07,6202.78,0.37,142.59,0.21,135.94,0.15,0.10155642023346301
4,4,7,3,1,4,1,3,4,1,2,1,2,1,0.3114942528735632,0.3114942528735632,8.54225352112676,3174.3,1.0,7070.0,0.44,1128.25,0.3,1625.94,0.29,11464.99,0.01,3158.42,0.47,2545.27,0.33,1650.21,0.11,0.10479704797047973
1,4,7,2,1,1,1,3,8,1,2,1,1,1,0.3416342412451362,0.3416342412451362,12.526315789473685,9771.45,0.32,10657.14,0.06,1687.03,0.25,2176.79,0.33,22457.21,0.01,6365.68,0.34,1912.72,0.33,967.87,0.25,0.07392996108949412
3,3,9,3,1,4,1,4,8,1,2,1,1,1,0.2529182879377432,0.2529182879377432,6.346938775510204,76.91,1.0,1997.63,0.01,144.53,0.22,207.43,1.0,49.67,0.02,12.83,0.56,42.36,0.18,46.51,0.13,0.13611111111111107
2,1,7,2,2,2,2,5,5,1,1,1,1,1,0.36964980544747084,0.36964980544747084,10.73913043478261,131.4,0.36,1515.9,0.47,922.08,0.26,530.96,0.36,1846.62,0.0,446.1,0.32,903.49,0.23,718.65,0.1,0.08518518518518514
1,1,9,2,2,3,2,5,6,1,1,2,1,1,0.26108949416342414,0.26108949416342414,10.993333333333334,352.52,0.32,10676.72,0.04,6359.37,0.23,2131.17,0.32,34.07,0.05,233.23,0.35,13.37,0.18,16.12,0.26,0.0833796553640912
1,1,7,2,1,3,2,4,2,2,1,2,2,1,0.26108949416342414,0.26108949416342414,10.681818181818182,268.36,0.29,16264.59,1.0,2629.75,0.17,2610.93,0.28,168.28,0.01,200.43,0.33,166.15,0.58,168.25,0.24,0.08560311284046696
1,2,1,2,2,2,2,5,2,1,1,2,1,1,0.5773838045040728,0.5069477719214183,15.415730337078651,183.95,0.23,507.33,0.38,5230.04,0.15,2750.74,0.26,22506.97,1.0,1794.65,0.28,2781.83,0.54,2227.79,0.19,0.06091718001368929
4,2,6,1,1,1,2,1,1,2,2,1,1,1,0.35574712643678164,0.35574712643678164,7.365384615384615,708.57,1.0,493.21,0.03,882.95,0.3,1655.03,0.32,265.72,0.02,9056.22,0.51,6250.3,0.35,2691.7,0.14,0.1166666666666667
2,4,5,4,1,1,1,1,6,1,1,2,1,1,0.4357976653696498,0.4357976653696498,13.210526315789474,114.56,0.31,195.62,1.0,184.53,0.24,712.59,0.32,40.8,1.0,2868.36,0.51,1968.32,0.56,1140.05,0.22,0.07037037037037042
