sampling,invalid_value,missing_value,floating_point,unit_converter,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,class_imbalance_ratio,corr_race,ot_race,corr_gender,ot_gender,corr_loan_type,ot_loan_type,corr_applicant_age,ot_applicant_age,corr_lien_status,ot_lien_status,corr_LV,ot_LV,corr_DI,ot_DI,corr_income_brackets,ot_income_brackets,utility_accuracy_score
1,3,4,4,1,4,7,2,1,2,1,1,0.20077821011673153,0.20116731517509728,10.173913043478262,318.52,0.32,562.89,1.0,11033.53,0.25,10109.05,0.36,3479.46,0.01,11048.21,0.2,318.6,0.51,3479.55,0.15,0.08949416342412453
2,2,9,4,2,5,4,2,1,2,1,1,0.2594033722438392,0.2619974059662776,8.642857142857142,108.93,0.36,152.02,1.0,1593.71,0.29,511.44,0.37,4236.88,0.03,155.07,0.29,108.95,0.36,4236.59,0.09,0.11481481481481481
2,4,7,4,1,5,5,2,2,2,1,1,0.2905317769130999,0.29442282749675747,11.0,104.35,0.32,176.28,1.0,2289.71,0.24,575.45,0.35,5929.0,1.0,236.05,0.32,104.37,0.47,5928.56,0.31,0.08333333333333337
2,3,8,2,2,3,1,1,1,2,1,1,0.16861219195849547,0.16861219195849547,9.012987012987013,3808.51,0.36,4024.74,1.0,34.62,0.3,28.93,0.38,6163.2,0.03,40.59,0.27,3808.46,0.29,8.92,0.09,0.09987029831387806
2,3,2,1,1,5,1,1,1,1,2,1,0.2178988326848249,0.2178988326848249,9.012987012987013,159.01,0.36,236.94,1.0,4270.66,0.3,4600.06,0.38,6169.58,0.1,4026.8,0.27,159.04,0.28,6169.17,0.17,0.09987029831387806
2,2,2,2,2,2,6,2,1,1,1,1,0.3463035019455253,0.3424124513618677,10.25,412.32,0.36,388.34,1.0,494.54,0.27,418.07,0.36,6776.99,0.04,507.61,0.29,412.32,0.27,6776.94,0.21,0.0888888888888889
2,2,3,1,1,3,6,1,1,1,2,1,0.3735408560311284,0.3735408560311284,9.384615384615385,2690.38,0.35,2852.19,1.0,460.43,0.24,529.86,0.35,5058.31,1.0,1824.28,0.29,2690.35,0.29,662.19,0.22,0.10185185185185186
1,2,2,3,2,4,5,2,1,1,1,1,0.35136186770428013,0.3529182879377432,9.339080459770114,295.6,0.32,505.85,1.0,3301.36,0.26,2118.4,0.34,3212.16,0.07,616.05,0.36,295.68,0.46,3212.23,0.15,0.09672040022234574
2,3,9,4,1,1,3,2,2,1,1,1,0.17120622568093385,0.17120622568093385,10.0,150.87,0.36,202.4,1.0,280.08,0.28,686.06,0.34,63.7,1.0,3229.17,0.34,150.87,0.39,63.7,0.34,0.09874608150470221
2,3,9,4,1,1,6,2,2,2,2,1,0.17120622568093385,0.17120622568093385,10.48936170212766,119.94,0.35,151.49,0.39,32.17,0.29,25.01,0.38,51.74,0.01,35.44,0.19,119.94,0.36,51.74,0.17,0.08703703703703702
1,1,8,4,1,4,3,1,2,2,1,1,0.18832684824902723,0.18832684824902723,9.71875,425.3,0.35,646.59,1.0,19932.98,0.26,19990.01,0.33,4022.28,1.0,19973.23,0.53,425.4,0.48,4022.36,0.36,0.09718172983479101
1,4,9,1,2,3,5,1,2,2,2,1,0.2821011673151751,0.28171206225680934,9.58235294117647,8928.43,0.33,9400.07,1.0,35.93,0.25,2067.8,0.33,14156.82,0.05,5911.09,0.3,8928.29,0.36,33.05,0.09,0.09449694274596998
2,4,8,3,2,4,6,2,2,1,2,1,0.2827496757457847,0.2827496757457847,10.48936170212766,128.99,0.36,146.5,0.38,1130.6,0.26,595.22,0.34,1156.24,0.0,236.69,0.26,129.02,0.42,1156.26,0.22,0.0888888888888889
1,4,1,3,1,5,7,1,2,1,2,1,0.34529828109201216,0.34529828109201216,9.646153846153846,279.57,0.34,395.78,1.0,5323.49,0.23,1573.87,0.32,10515.62,0.02,498.65,0.31,279.62,0.44,10515.03,0.16,0.09393063583815031
2,1,2,2,1,1,8,2,1,1,1,1,0.2178988326848249,0.2178988326848249,8.642857142857142,140.51,1.0,135.73,0.39,36.76,0.33,6.0,0.35,69.59,0.11,42.32,0.29,140.51,0.27,69.59,0.19,0.6296296296296297
2,2,1,2,1,4,3,2,2,2,1,1,0.3704918032786885,0.37540983606557377,10.51923076923077,141.6,0.36,189.78,1.0,1085.91,0.28,660.17,0.34,1287.84,1.0,222.96,0.35,141.62,0.28,1287.86,0.22,0.09181969949916524
2,2,7,3,1,5,7,2,1,2,1,1,0.2905317769130999,0.29442282749675747,11.272727272727273,159.52,0.39,171.88,1.0,2107.98,0.24,458.35,0.41,6072.05,0.0,257.52,0.29,159.54,0.4,6071.6,0.29,0.08703703703703702
1,4,2,4,1,2,1,2,2,1,2,1,0.35136186770428013,0.3529182879377432,8.846743295019158,1900.31,0.34,1900.31,1.0,1900.31,0.28,1900.31,0.37,1900.31,0.12,1900.31,0.4,1900.31,0.5,1900.31,0.18,0.10233463035019452
1,3,3,3,1,3,5,2,1,2,2,1,0.19221789883268484,0.19143968871595332,9.28,8802.24,0.32,9334.34,1.0,91.23,0.26,93.37,0.38,14178.32,0.01,88.12,0.24,8802.12,0.4,23.25,0.17,0.09727626459143968
1,1,6,4,2,4,8,2,2,1,2,1,0.18638132295719845,0.18638132295719845,10.314465408805031,250.7,0.29,442.6,0.37,12340.34,0.26,11739.33,0.35,3757.78,0.0,12965.6,0.15,250.78,0.44,3757.86,0.3,0.08838243468593665
2,2,8,4,1,3,2,1,1,1,1,1,0.2827496757457847,0.2814526588845655,10.48936170212766,2738.36,0.24,2903.74,1.0,1247.22,0.2,761.12,0.3,5653.77,1.0,2083.56,0.25,2738.32,0.36,714.33,0.36,0.12222222222222223
1,2,6,2,2,2,6,2,2,1,2,1,0.28871595330739297,0.29105058365758757,9.52046783625731,1244.33,0.31,1282.62,1.0,1646.05,0.22,1485.41,0.32,1787.9,0.01,1449.16,0.35,1244.33,0.38,1787.9,0.17,0.09505280711506392
1,1,7,1,1,5,2,2,1,1,1,1,0.18482490272373542,0.18326848249027236,10.612903225806452,188.87,0.25,542.08,1.0,19082.81,0.21,19091.41,0.29,19092.61,1.0,19075.79,0.32,188.93,0.37,19090.79,0.23,0.0872222222222222
1,2,4,1,1,2,5,2,2,2,1,1,0.3595330739299611,0.36770428015564205,9.28,1256.81,0.32,1310.03,1.0,1550.09,0.22,1361.12,0.32,1426.78,0.02,1392.24,0.32,1256.81,0.37,1426.74,0.19,0.09727626459143968
1,4,3,4,1,2,7,2,2,1,1,1,0.36614785992217896,0.36614785992217896,9.339080459770114,1339.12,0.34,1306.61,1.0,1397.41,0.23,1446.73,0.31,1317.0,0.02,1502.84,0.3,1339.12,0.43,1317.0,0.2,0.09672040022234574
2,1,6,2,2,5,4,2,1,1,2,1,0.1582360570687419,0.1582360570687419,9.18867924528302,111.01,0.35,156.24,1.0,2781.34,0.31,3496.56,0.37,4272.4,0.02,3075.92,0.26,111.03,0.28,4272.13,0.1,0.10555555555555551
2,2,2,2,2,5,8,1,1,1,1,1,0.3463035019455253,0.3463035019455253,10.48936170212766,154.87,0.39,191.07,1.0,2067.7,0.27,365.0,0.44,5644.09,0.07,223.44,0.31,154.89,0.32,5643.67,0.23,0.09444444444444444
1,3,1,2,2,5,8,1,1,2,2,1,0.19412019022913965,0.1949848681366191,10.321678321678322,194.44,0.27,324.09,0.33,10851.34,0.24,12426.61,0.33,13371.89,0.02,11509.61,0.16,194.49,0.39,13370.87,0.14,0.10315009264978381
1,3,2,2,1,5,1,2,1,1,2,1,0.2396887159533074,0.2396887159533074,8.846743295019158,457.71,0.34,744.38,1.0,13299.93,0.28,13305.47,0.37,18554.89,0.12,13297.8,0.27,457.8,0.39,18553.42,0.18,0.10155642023346301
2,1,1,1,1,1,6,1,2,2,2,1,0.17453505007153075,0.17453505007153075,11.225,111.22,0.34,143.39,0.38,26.73,0.3,24.03,0.38,43.47,1.0,32.22,0.21,111.22,0.28,43.47,0.17,0.07975460122699385
2,4,1,2,2,2,6,2,2,1,1,1,0.3704918032786885,0.380327868852459,11.558823529411764,335.69,0.35,281.88,0.36,391.67,0.25,341.89,0.33,6144.4,1.0,441.57,0.22,335.69,0.29,6144.37,0.23,0.07962529274004682
1,2,3,2,1,5,7,2,1,1,2,1,0.35914396887159533,0.35719844357976654,9.28,315.67,0.33,478.51,1.0,6484.68,0.22,2163.33,0.3,13545.3,0.02,602.85,0.29,315.73,0.38,13544.25,0.14,0.09727626459143968
1,2,7,4,2,3,4,1,2,1,1,1,0.28443579766536964,0.2821011673151751,9.77245508982036,9027.44,0.33,9619.98,1.0,75.24,0.26,1932.37,0.37,14206.87,0.03,5622.12,0.18,9027.32,0.38,34.25,0.11,0.09394107837687604
1,2,3,3,2,4,4,2,2,1,2,1,0.36614785992217896,0.3665369649805447,8.884615384615385,313.82,0.34,522.77,1.0,3110.11,0.23,1926.03,0.32,2893.23,0.02,558.05,0.52,313.9,0.47,2893.3,0.2,0.10839355197331846
1,4,4,2,1,5,3,2,1,2,1,1,0.3595330739299611,0.3622568093385214,11.035211267605634,152.38,0.23,523.61,1.0,18848.14,1.0,1921.85,0.34,18848.14,1.0,1028.81,0.36,152.43,0.37,18846.34,0.24,0.08425980105324749
1,1,1,2,1,4,4,1,1,2,1,1,0.19412019022913965,0.19455252918287938,8.75301204819277,282.5,0.34,448.36,1.0,8733.44,0.28,8702.45,0.36,2540.93,0.02,8600.66,0.26,282.56,0.34,2540.99,0.16,0.10623841877702289
2,2,6,1,1,5,3,1,2,1,2,1,0.2840466926070039,0.2840466926070039,9.557142857142857,167.18,0.36,243.72,1.0,2325.33,0.28,745.59,0.36,7053.17,1.0,249.59,0.31,167.21,0.27,7052.64,0.23,0.09607577807848444
1,1,4,2,1,3,6,1,2,2,2,1,0.20116731517509728,0.20116731517509728,9.644970414201184,8931.38,0.32,9388.29,0.39,106.77,0.27,107.86,0.38,15407.28,0.01,91.43,0.21,8931.25,0.39,16.07,0.23,0.09394107837687604
1,4,4,3,2,2,3,1,2,2,1,1,0.3782101167315175,0.37665369649805447,11.027777777777779,948.48,0.23,1273.79,1.0,46192.33,1.0,1194.71,0.34,24833.56,1.0,2078.05,0.37,948.47,0.35,24831.94,0.35,0.08371824480369516
1,2,4,4,1,2,6,1,2,2,1,1,0.3782101167315175,0.37665369649805447,9.96951219512195,1264.24,0.31,1278.63,0.39,1762.58,0.2,1615.48,0.29,2008.58,0.01,1491.5,0.49,1264.24,0.45,2008.51,0.17,0.09116175653140635
2,4,7,1,1,2,2,1,2,2,1,1,0.2905317769130999,0.2892347600518807,10.48936170212766,271.4,0.24,374.05,0.39,1500.8,0.19,655.63,0.29,7027.16,1.0,528.58,0.3,271.4,0.36,7027.17,0.21,0.09999999999999998
1,1,5,4,1,2,5,1,1,1,2,1,0.1894941634241245,0.18832684824902723,9.459302325581396,1246.84,0.31,1336.4,1.0,1921.06,0.27,1645.87,0.36,1903.41,0.01,1854.23,0.24,1246.84,0.46,1903.41,0.21,0.09560867148415786
1,3,6,2,2,5,1,2,1,1,2,1,0.18482490272373542,0.1840466926070039,8.846743295019158,457.71,0.34,744.38,1.0,13299.93,0.28,13305.47,0.37,18510.82,0.02,13297.8,0.27,457.8,0.39,18509.36,0.1,0.10155642023346301
1,2,2,2,2,5,2,2,1,1,2,1,0.34747081712062255,0.34669260700389104,10.758169934640524,176.33,0.25,547.72,1.0,11042.63,0.2,2758.29,0.29,19338.0,0.01,830.47,0.34,176.39,0.38,19336.15,0.13,0.08560311284046696
2,2,1,4,2,2,5,2,2,1,2,1,0.3836065573770492,0.3836065573770492,11.2,333.37,0.35,360.2,1.0,482.54,0.24,384.98,0.31,216.35,0.02,338.7,0.3,333.37,0.32,216.35,0.18,0.08196721311475408
2,3,2,2,2,2,5,2,1,2,2,1,0.2178988326848249,0.2191958495460441,9.588235294117647,413.46,0.36,500.41,1.0,360.73,0.29,396.75,0.36,266.9,0.11,609.05,0.24,413.46,0.27,266.9,0.17,0.09444444444444444
