sampling,invalid_value,missing_value,floating_point,unit_converter,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,class_imbalance_ratio,corr_race,ot_race,corr_gender,ot_gender,corr_loan_type,ot_loan_type,corr_applicant_age,ot_applicant_age,corr_lien_status,ot_lien_status,corr_LV,ot_LV,corr_DI,ot_DI,corr_income_brackets,ot_income_brackets,utility_accuracy_score
1,1,4,2,2,5,5,1,1,2,1,1,0.22568093385214008,0.22801556420233463,9.644970414201184,37.77,0.38,584.11,1.0,10509.56,0.26,648.62,0.38,34.36,0.06,648.6,0.54,10509.56,0.19,1528.87,0.27,0.0961645358532518
2,3,3,3,1,1,3,1,1,2,2,1,0.24773022049286642,0.24773022049286642,10.053571428571429,126.24,0.34,209.7,1.0,2176.52,0.4,2844.04,0.37,61.47,1.0,2844.04,0.34,2176.51,0.43,1612.96,0.23,0.08723747980613894
1,4,8,1,1,2,5,2,1,2,1,1,0.2961089494163424,0.27626459143968873,9.903030303030302,1375.88,0.37,1363.46,1.0,1294.73,0.31,1375.14,0.33,1230.32,0.03,1375.14,0.36,1476.35,0.59,1448.62,0.27,0.09227348526959422
2,4,5,2,1,5,1,1,1,2,1,1,0.3670557717250324,0.36835278858625164,9.012987012987013,163.31,0.36,236.94,1.0,3806.42,0.31,242.37,0.39,6382.89,0.01,242.37,0.53,761.36,0.6,626.98,0.27,0.10376134889753563
2,3,6,3,1,3,6,2,2,2,2,1,0.2438391699092088,0.2438391699092088,10.73913043478261,42.3,0.41,3059.26,1.0,39.25,0.3,1899.63,0.32,39.28,0.09,1899.64,0.28,39.25,0.19,343.84,0.25,0.09074074074074079
2,2,2,2,2,1,4,2,1,2,2,1,0.324254215304799,0.324254215304799,8.818181818181818,127.99,0.4,175.73,1.0,36.61,0.32,2320.67,0.39,62.11,0.14,2320.67,0.55,2037.95,0.47,895.3,0.28,0.11481481481481481
1,1,7,4,2,5,1,2,1,1,2,1,0.22684824902723735,0.22607003891050584,8.846743295019158,48.17,0.38,744.38,1.0,13299.51,0.3,844.53,0.38,47.3,0.13,844.51,0.37,13299.51,0.22,1963.5,0.27,0.10233463035019452
1,3,8,1,2,5,4,2,1,2,1,1,0.22684824902723735,0.22879377431906614,8.939226519337016,31.24,0.38,518.49,1.0,9534.39,0.3,601.47,0.35,33.45,0.13,601.46,0.36,9534.39,0.22,1388.33,0.27,0.10283490828237907
2,4,8,2,2,2,3,2,2,2,1,1,0.3009079118028534,0.3138780804150454,10.5,499.36,0.39,510.56,1.0,11269.27,0.39,529.18,0.39,8363.1,1.0,529.18,0.5,763.1,0.43,527.79,0.23,0.10194902548725637
2,3,9,1,2,3,5,1,1,1,2,1,0.24124513618677043,0.23994811932555124,9.8,34.31,0.41,2873.34,1.0,36.96,0.26,1775.32,0.3,39.14,0.15,1775.33,0.3,36.96,0.16,310.14,0.26,0.09444444444444444
1,2,6,1,2,4,1,1,2,1,2,1,0.30894941634241246,0.30739299610894943,8.846743295019158,483.21,0.36,744.38,1.0,13297.44,0.3,844.54,0.37,4109.76,0.03,844.51,0.37,2045.43,0.62,1963.5,0.27,0.10272373540856028
1,2,3,3,1,3,3,1,1,2,2,1,0.3272373540856031,0.3303501945525292,10.44059405940594,11805.16,0.32,12538.72,1.0,7388.81,0.4,7298.82,0.37,24117.77,1.0,7298.85,0.36,1763.78,0.59,991.91,0.24,0.08697533535266122
1,4,8,3,2,3,7,2,2,1,2,1,0.2867704280155642,0.29221789883268484,11.75886524822695,9809.75,0.36,10177.98,1.0,119.11,0.3,6379.07,0.29,20993.62,0.03,6379.09,0.32,4906.53,0.59,871.85,0.27,0.0778210116731517
2,4,5,1,2,1,2,2,2,1,1,1,0.3670557717250324,0.3670557717250324,11.272727272727273,90.36,0.3,161.25,0.39,2191.52,0.35,4337.75,0.36,47.81,1.0,4337.75,0.4,2191.52,0.41,1418.33,0.22,0.0796296296296296
1,2,1,3,2,2,3,2,1,1,1,1,0.4080604534005038,0.4065491183879093,10.071005917159763,1388.07,0.34,1389.37,1.0,1550.41,0.42,1466.29,0.39,24601.17,1.0,1466.29,0.35,1550.41,0.59,1430.6,0.25,0.08872260823089262
2,2,1,4,1,2,1,2,2,2,1,1,0.38632478632478634,0.40512820512820513,8.75,430.7,0.36,430.7,1.0,430.7,0.38,430.7,0.37,430.7,0.01,430.7,0.51,430.7,0.43,430.7,0.27,0.10085470085470083
1,4,8,1,2,5,5,2,1,1,1,1,0.2961089494163424,0.29299610894941636,9.77245508982036,385.93,0.37,578.73,1.0,10125.54,0.28,663.36,0.35,14414.3,0.03,663.34,0.52,2025.78,0.76,1553.25,0.26,0.09449694274596998
1,4,6,4,1,5,2,2,1,1,1,1,0.3007782101167315,0.3035019455252918,11.942446043165468,358.13,0.33,594.94,1.0,21457.38,0.36,722.91,0.34,21425.16,0.0,722.89,0.41,3065.16,0.54,1992.54,0.21,0.0778210116731517
2,2,5,2,2,2,1,1,1,2,2,1,0.3670557717250324,0.364461738002594,9.012987012987013,572.42,0.36,572.42,1.0,572.42,0.36,572.42,0.37,572.42,0.01,572.42,0.53,572.42,0.6,572.42,0.27,0.10376134889753563
1,4,1,3,1,2,4,1,2,2,2,1,0.4080604534005038,0.4065491183879093,8.138157894736842,1004.53,0.35,1015.48,1.0,1015.98,0.44,1016.33,0.39,1120.88,0.02,1016.33,0.37,1015.98,0.59,995.97,0.28,0.10655147588192948
1,3,5,4,2,3,4,1,2,2,1,1,0.26926070038910505,0.26926070038910505,9.050279329608939,98.36,0.38,9322.16,1.0,90.05,0.28,5575.67,0.36,148.56,0.09,5575.69,0.37,90.05,0.21,750.37,0.27,0.10672595886603664
2,4,4,4,1,5,3,2,1,1,1,1,0.33722438391699094,0.33722438391699094,10.366666666666667,129.54,0.33,225.41,1.0,7054.68,0.4,255.86,0.41,7059.7,1.0,255.85,0.51,958.66,0.43,609.62,0.23,0.08504398826979476
2,1,8,4,2,3,6,1,2,1,2,1,0.24254215304798962,0.2438391699092088,11.0,40.0,0.41,3075.9,1.0,31.31,0.29,1916.03,0.33,39.17,0.13,1916.04,0.28,31.31,0.18,336.7,0.24,0.09259259259259256
1,3,8,1,2,3,3,2,2,1,2,1,0.22684824902723735,0.2299610894941634,10.08187134502924,9637.12,0.34,10256.23,1.0,5934.9,0.43,5867.68,0.38,19095.06,1.0,5867.7,0.35,5934.94,0.59,835.29,0.25,0.08970976253298157
2,3,6,2,1,3,7,1,2,2,2,1,0.2438391699092088,0.24254215304798962,10.73913043478261,43.46,0.41,3177.13,1.0,42.71,0.26,1875.16,0.36,37.74,0.07,1875.16,0.49,42.71,0.16,329.91,0.23,0.1777777777777778
1,2,4,4,2,3,8,2,1,1,2,1,0.32607003891050584,0.32801556420233463,10.835526315789474,9443.58,0.35,10350.04,1.0,119.17,0.27,6210.46,0.35,19482.28,1.0,6210.48,0.32,3836.2,0.53,1066.44,0.25,0.08504724847137302
