missing_value,normalization,outlier,model,utility_sp
3,4,3,1,0.09201623815967523
3,4,4,1,0.1762317597096368
3,4,5,1,0.19149507215769096
3,4,6,1,0.19185818830589738
3,4,7,1,0.17901126826254307
3,4,8,1,0.17678432889142517
3,5,1,1,0.1641146871443066
3,5,2,1,0.19061117360329957
3,5,3,1,0.1002710027100271
3,5,4,1,0.17740508865762816
3,5,5,1,0.19287900631659155
3,5,6,1,0.1942319598546687
3,5,7,1,0.18254079957105995
3,5,8,1,0.1802120306457552
4,1,1,1,0.05983460631874594
4,1,2,1,0.10942632170978628
4,1,3,1,0.07376740527513723
4,1,4,1,0.06333198630788248
4,1,5,1,0.019147122729655436
4,1,6,1,0.016309151100259142
4,1,7,1,0.002512664640324215
4,1,8,1,0.002169474612955302
4,2,1,1,0.172809271934749
4,2,2,1,0.1967979002624672
4,2,3,1,0.16043513066517126
4,2,4,1,0.17196875499075995
4,2,5,1,0.18601782056266686
4,2,6,1,0.17743509607248026
4,2,7,1,0.1764881611174998
4,2,8,1,0.17700608238257853
4,3,1,1,0.15479562704188404
4,3,2,1,0.2014360704911886
4,3,3,1,0.15366923080048925
4,3,4,1,0.16712470203448082
4,3,5,1,0.18019445991796224
4,3,6,1,0.16709493260345268
4,3,7,1,0.16300254310494092
4,3,8,1,0.16340936200157624
4,4,1,1,0.16235671403236798
4,4,2,1,0.18836520434945633
4,4,3,1,0.09201623815967523
4,4,4,1,0.1762317597096368
4,4,5,1,0.19149507215769096
4,4,6,1,0.19185818830589738
4,4,7,1,0.17901126826254307
4,4,8,1,0.17678432889142517
4,5,1,1,0.1641146871443066
4,5,2,1,0.19061117360329957
4,5,3,1,0.1002710027100271
4,5,4,1,0.17740508865762816
4,5,5,1,0.19287900631659155
4,5,6,1,0.1942319598546687
4,5,7,1,0.18254079957105995
4,5,8,1,0.1802120306457552
5,1,1,1,0.05983460631874594
5,1,2,1,0.10942632170978628
5,1,3,1,0.07376740527513723
5,1,4,1,0.06333198630788248
5,1,5,1,0.019147122729655436
5,1,6,1,0.016309151100259142
5,1,7,1,0.002512664640324215
5,1,8,1,0.002169474612955302
5,2,1,1,0.172809271934749
5,2,2,1,0.1967979002624672
5,2,3,1,0.16043513066517126
5,2,4,1,0.17196875499075995
5,2,5,1,0.18601782056266686
5,2,6,1,0.17743509607248026
5,2,7,1,0.1764881611174998
5,2,8,1,0.17700608238257853
5,3,1,1,0.15479562704188404
5,3,2,1,0.2014360704911886
5,3,3,1,0.15366923080048925
5,3,4,1,0.16712470203448082
5,3,5,1,0.18019445991796224
5,3,6,1,0.16709493260345268
5,3,7,1,0.16300254310494092
5,3,8,1,0.16340936200157624
5,4,1,1,0.16235671403236798
5,4,2,1,0.18836520434945633
5,4,3,1,0.09201623815967523
5,4,4,1,0.1762317597096368
5,4,5,1,0.19149507215769096
5,4,6,1,0.19185818830589738
5,4,7,1,0.17901126826254307
5,4,8,1,0.17678432889142517
5,5,1,1,0.1641146871443066
5,5,2,1,0.19061117360329957
5,5,3,1,0.1002710027100271
5,5,4,1,0.17740508865762816
5,5,5,1,0.19287900631659155
5,5,6,1,0.1942319598546687
5,5,7,1,0.18254079957105995
5,5,8,1,0.1802120306457552
6,1,1,1,0.05983460631874594
6,1,2,1,0.10942632170978628
6,1,3,1,0.07376740527513723
6,1,4,1,0.06333198630788248
6,1,5,1,0.019147122729655436
6,1,6,1,0.016309151100259142
6,1,7,1,0.002512664640324215
6,1,8,1,0.002169474612955302
6,2,1,1,0.172809271934749
6,2,2,1,0.1967979002624672
6,2,3,1,0.16043513066517126
6,2,4,1,0.17196875499075995
6,2,5,1,0.18601782056266686
6,2,6,1,0.17743509607248026
6,2,7,1,0.1764881611174998
6,2,8,1,0.17700608238257853
6,3,1,1,0.15479562704188404
6,3,2,1,0.2014360704911886
6,3,3,1,0.15366923080048925
6,3,4,1,0.16712470203448082
6,3,5,1,0.18019445991796224
6,3,6,1,0.16709493260345268
6,3,7,1,0.16300254310494092
6,3,8,1,0.16340936200157624
6,4,1,1,0.16235671403236798
