missing_value,normalization,outlier,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,outlier_after_outlier_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,corr_Workclass,corr_fnlwgt,corr_Education,corr_Education_Num,corr_Martial_Status,corr_Occupation,corr_Relationship,corr_Race,corr_Sex,corr_Capital_Gain,corr_Capital_Loss,corr_Hours_per_week,corr_Country,utility_sp
5,5,1,1,0.3497235872235872,0.04990786240786241,0.04990786240786241,0.19627,2.02321,0.0434472369306056,0.4816,449.45848,8887.94649,2505.5427,25936.43837,7154.3191,2886.14258,6211.71162,267.17137,65230.79794,14784.49182,9151.18061,8293.63113,4279.49112,63410.31014,0.13267490006532348
5,5,2,1,0.3497235872235872,0.04990786240786241,0.04998464373464374,0.20718,2.32754,0.043552772775427996,0.39046,226.15948,8026.36489,2237.53415,23319.16792,5256.54301,2014.32683,5354.30731,25.69564,63680.18673,13687.78588,7998.48082,7847.51451,3621.64188,63295.59595,0.14118453445006163
5,5,3,1,0.3497235872235872,0.04990786240786241,0.049983338887037654,0.19834,2.06264,0.043618140671427746,0.35612,322.82844,6553.715,1939.61365,19065.9771,5312.65592,2035.412,4613.8862,164.33197,47300.77712,11114.07121,6865.59793,6170.57758,3143.22158,46212.89504,0.137082301637102
5,5,4,1,0.3497235872235872,0.04990786240786241,0.049991338991858654,0.20017,2.11079,0.04366369238173113,0.43646,343.97267,7550.00668,2492.68414,22415.46483,6107.73875,2203.90098,5359.46121,129.49347,55498.05552,13365.46251,8463.92072,7753.95216,3566.11007,53850.9511,0.1392743740904995
5,5,5,1,0.3497235872235872,0.04990786240786241,0.050023675843874724,0.20335,2.1073,0.04438354997494106,0.44893,345.37976,7635.4004,2570.22949,22682.10596,6222.78321,2164.04092,5443.6658,123.3594,56229.94242,13580.34334,8739.70885,8021.47049,3599.41425,54987.20676,0.14344723634710468
5,5,6,1,0.3497235872235872,0.04990786240786241,0.050008307027745474,0.20093,2.06935,0.044136965845059474,0.45458,362.79206,7793.90708,2563.834,23240.30598,6455.90428,2266.38383,5606.26938,153.0014,57702.66309,13626.00638,8864.30518,8140.23156,3706.76544,56727.39874,0.14214592136609677
5,5,7,1,0.3497235872235872,0.04990786240786241,0.04998520174948206,0.20173,2.04608,0.04448573793246125,0.45814,367.6042,7910.84821,2556.10668,23586.25541,6567.33274,2318.44245,5692.15828,166.92416,58636.35043,13630.86793,8896.60704,8237.36728,3776.12121,57698.47787,0.1426559391639438
6,1,1,1,0.3497235872235872,0.3497235872235872,0.3497235872235872,0.19627,2.02321,0.0434472369306056,0.4816,256991.60794,1045.63104,105269.17313,4429.44119,110794.56174,5803.90182,4031.65787,6698.62701,330.95438,1517.52998,692.9838,1518.9135,344649.22978,316.90654,0.059291506713658654
6,1,2,1,0.3497235872235872,0.3497235872235872,0.2724201474201474,0.20718,2.32754,0.043552772775427996,0.39046,231664.64035,682.92417,97541.26528,3080.3848,96128.64042,4636.33296,2982.91419,5276.01624,181.15028,1272.82324,1011.4668,412.33097,366253.45673,217.68509,0.08037170740627106
6,1,3,1,0.3497235872235872,0.3497235872235872,0.21483136936204794,0.20008,2.07702,0.04389406101760677,0.36914,207769.71882,803.73116,79901.13147,3327.48794,85683.90364,4532.05423,3072.71943,5173.1155,263.55422,1169.88026,502.25413,1142.81847,324618.7637,255.61898,0.059990587581882235
