missing_value,normalization,model,outlier_bef_normalization_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
3,1,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,0.23623,125907.02688,0.139,571.81821,0.139,52279.45793,0.139,2114.18863,0.139,232602.7845,0.139,2970.0185,0.139,1967.0139,0.139,3391.24845,0.139,161.4409,0.139,729.92987,0.139,331.19245,0.139,769.97512,0.139,168382.36467,0.139,167.7667,0.139,0.05457566798240117
3,2,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,0.23623,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,0.16928565095225137
3,3,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,0.23623,539.31497,0.139,902.58379,0.139,345.1193,0.139,2020.94346,0.139,800.96323,0.139,56.22378,0.139,2596.09881,0.139,288.49348,0.139,5836.99697,0.139,13103.28639,0.139,331.19245,0.139,769.97512,0.139,63.23188,0.139,1640.6317,0.139,0.1480106522516793
3,4,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,0.23623,3018.2307,0.139,4662.82725,0.139,1045.30995,0.139,13226.98324,0.139,12216.24514,0.139,1592.58902,0.139,3287.69579,0.139,151.38956,0.139,33709.49315,0.139,7506.42985,0.139,4442.92282,0.139,3846.58617,0.139,2446.99475,0.139,32935.24494,0.139,0.1712324997630455
3,5,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,0.23623,288.78009,0.139,4662.82725,0.139,1203.06599,0.139,13226.98324,0.139,10548.83194,0.139,1592.58902,0.139,3287.69579,0.139,151.38956,0.139,33709.49315,0.139,7506.42985,0.139,4442.92282,0.139,3846.58617,0.139,2274.14021,0.139,32935.24494,0.139,0.17132458079435303
4,1,1,0.14341870892451325,0.19098,2.00332,0.042419081225051385,0.23623,125907.02688,0.14342,571.81821,0.14342,52279.45793,0.14342,2114.18863,0.14342,232602.7845,0.14342,2648.2714,0.14342,1967.0139,0.14342,3391.24845,0.14342,161.4409,0.14342,729.92987,0.14342,331.19245,0.14342,769.97512,0.14342,168382.36467,0.14342,167.7667,0.14342,0.0651735475198252
4,2,1,0.14341870892451325,0.19098,2.00332,0.042419081225051385,0.23623,769.61405,0.14342,769.61405,0.14342,769.61405,0.14342,769.61405,0.14342,769.61405,0.14342,769.61405,0.14342,769.61405,0.14342,769.61405,0.14342,769.61405,0.14342,769.61405,0.14342,769.61405,0.14342,769.61405,0.14342,769.61405,0.14342,769.61405,0.14342,0.1700207704639518
4,3,1,0.14341870892451325,0.19098,2.00332,0.042419081225051385,0.23623,539.31497,0.14342,902.58379,0.14342,345.1193,0.14342,2020.94346,0.14342,800.96323,0.14342,48.85836,0.14342,2596.09881,0.14342,288.49348,0.14342,5836.99697,0.14342,13103.28639,0.14342,331.19245,0.14342,769.97512,0.14342,63.23188,0.14342,1640.6317,0.14342,0.17038114514763028
4,4,1,0.14341870892451325,0.19098,2.00332,0.042419081225051385,0.23623,3018.2307,0.14342,4662.82725,0.14342,1045.30995,0.14342,13226.98324,0.14342,12216.24514,0.14342,2495.8602,0.14342,3287.69579,0.14342,151.38956,0.14342,33709.49315,0.14342,7506.42985,0.14342,4442.92282,0.14342,3846.58617,0.14342,2446.99475,0.14342,32935.24494,0.14342,0.17196670203148998
4,5,1,0.14341870892451325,0.19098,2.00332,0.042419081225051385,0.23623,288.78009,0.14342,4662.82725,0.14342,1203.06599,0.14342,13226.98324,0.14342,10548.83194,0.14342,2495.8602,0.14342,3287.69579,0.14342,151.38956,0.14342,33709.49315,0.14342,7506.42985,0.14342,4442.92282,0.14342,3846.58617,0.14342,2274.14021,0.14342,32935.24494,0.14342,0.1723350261567202
5,1,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,0.23623,125907.02688,0.139,571.81821,0.139,52279.45793,0.139,2114.18863,0.139,232602.7845,0.139,2970.0185,0.139,1967.0139,0.139,3391.24845,0.139,161.4409,0.139,729.92987,0.139,331.19245,0.139,769.97512,0.139,168382.36467,0.139,167.7667,0.139,0.05457566798240117
5,2,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,0.23623,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,769.61405,0.139,0.16928565095225137
5,3,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,0.23623,539.31497,0.139,902.58379,0.139,345.1193,0.139,2020.94346,0.139,800.96323,0.139,56.22378,0.139,2596.09881,0.139,288.49348,0.139,5836.99697,0.139,13103.28639,0.139,331.19245,0.139,769.97512,0.139,63.23188,0.139,1640.6317,0.139,0.1480106522516793
5,4,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,0.23623,3018.2307,0.139,4662.82725,0.139,1045.30995,0.139,13226.98324,0.139,12216.24514,0.139,1592.58902,0.139,3287.69579,0.139,151.38956,0.139,33709.49315,0.139,7506.42985,0.139,4442.92282,0.139,3846.58617,0.139,2446.99475,0.139,32935.24494,0.139,0.1712324997630455
5,5,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,0.23623,288.78009,0.139,4662.82725,0.139,1203.06599,0.139,13226.98324,0.139,10548.83194,0.139,1592.58902,0.139,3287.69579,0.139,151.38956,0.139,33709.49315,0.139,7506.42985,0.139,4442.92282,0.139,3846.58617,0.139,2274.14021,0.139,32935.24494,0.139,0.17132458079435303
