missing_value,normalization,outlier,model,utility_accuracy_score
6,5,1,1,0.1781217369940421
6,5,2,1,0.18418426103646834
6,5,3,1,0.17803954564577196
6,5,4,1,0.1849219620958752
6,5,5,1,0.1849561731331114
6,5,6,1,0.1818060912355366
6,5,7,1,0.180544593528019
7,1,1,1,0.21067501996191884
7,1,2,1,0.21381957773512472
7,1,3,1,0.21363526472721417
7,1,4,1,0.21109562678346272
7,1,5,1,0.20874738493723854
7,1,6,1,0.20541518664968839
7,1,7,1,0.20467599162105543
7,2,1,1,0.17486640869725445
7,2,2,1,0.17942418426103646
7,2,3,1,0.1735992864672018
7,2,4,1,0.17819898996523909
7,2,5,1,0.17711799334527767
7,2,6,1,0.17626217891939766
7,2,7,1,0.17583249243188703
7,3,1,1,0.1781217369940421
7,3,2,1,0.18272552783109408
7,3,3,1,0.17437379576107903
7,3,4,1,0.1759699129057799
7,3,5,1,0.173502393582611
7,3,6,1,0.1772963271585155
7,3,7,1,0.17487668951380442
7,4,1,1,0.1779374731281862
7,4,2,1,0.18441458733205374
7,4,3,1,0.1787643484132343
7,4,4,1,0.1857303055789179
7,4,5,1,0.1849544801149976
7,4,6,1,0.18269488347173857
7,4,7,1,0.18145800316957206
7,5,1,1,0.1781217369940421
7,5,2,1,0.18418426103646834
7,5,3,1,0.17803954564577196
7,5,4,1,0.1849219620958752
7,5,5,1,0.1849561731331114
7,5,6,1,0.1818060912355366
7,5,7,1,0.180544593528019
8,1,1,1,0.21067501996191884
8,1,2,1,0.21381957773512472
8,1,3,1,0.21363526472721417
8,1,4,1,0.21109562678346272
8,1,5,1,0.20874738493723854
8,1,6,1,0.20541518664968839
8,1,7,1,0.20467599162105543
8,2,1,1,0.17486640869725445
8,2,2,1,0.17942418426103646
8,2,3,1,0.1735992864672018
8,2,4,1,0.17819898996523909
8,2,5,1,0.17711799334527767
8,2,6,1,0.17626217891939766
