missing_value,normalization,outlier,model,utility_sp
3,3,3,1,0.14408963823227458
3,3,4,1,0.1360589624545296
3,3,5,1,0.10023926608541261
3,3,6,1,0.12788893988345007
3,3,7,1,0.10601421434387438
3,3,8,1,0.12824905628466954
3,4,1,1,0.1773989755337413
3,4,2,1,0.18645729610932812
3,4,3,1,0.13693409826232802
3,4,4,1,0.17972942824803112
3,4,5,1,0.1848031736229572
3,4,6,1,0.18496851247680784
3,4,7,1,0.18482226055996953
3,4,8,1,0.18378544883903014
3,5,1,1,0.1773573440748463
3,5,2,1,0.18680186850976319
3,5,3,1,0.13326644023790296
3,5,4,1,0.18192778372012222
3,5,5,1,0.18231241895555383
3,5,6,1,0.18345894235132265
3,5,7,1,0.18467269543458426
3,5,8,1,0.18534972042445105
4,1,1,1,0.06037916586237414
4,1,2,1,0.07244255973565625
4,1,3,1,0.05190104297124637
4,1,4,1,0.052549941534079415
4,1,5,1,0.06685150789232527
4,1,6,1,0.060918349449129966
4,1,7,1,0.04296274060599573
4,1,8,1,0.044815010924494435
4,2,1,1,0.1716433091598158
4,2,2,1,0.18033680338169877
4,2,3,1,0.14410279437375903
4,2,4,1,0.16937874692168578
4,2,5,1,0.17621467562691012
4,2,6,1,0.17787348262532574
4,2,7,1,0.17612881527587698
4,2,8,1,0.17362435783383529
4,3,1,1,0.13457707849426215
4,3,2,1,0.14916726866053118
4,3,3,1,0.14408963823227458
4,3,4,1,0.1360589624545296
4,3,5,1,0.10023926608541261
4,3,6,1,0.12788893988345007
4,3,7,1,0.10601421434387438
4,3,8,1,0.12824905628466954
4,4,1,1,0.1773989755337413
4,4,2,1,0.18645729610932812
4,4,3,1,0.13693409826232802
4,4,4,1,0.17972942824803112
4,4,5,1,0.1848031736229572
4,4,6,1,0.18496851247680784
4,4,7,1,0.18482226055996953
4,4,8,1,0.18378544883903014
4,5,1,1,0.1773573440748463
4,5,2,1,0.18680186850976319
4,5,3,1,0.13326644023790296
4,5,4,1,0.18192778372012222
4,5,5,1,0.18231241895555383
4,5,6,1,0.18345894235132265
4,5,7,1,0.18467269543458426
4,5,8,1,0.18534972042445105
5,1,1,1,0.06037916586237414
5,1,2,1,0.07244255973565625
5,1,3,1,0.05190104297124637
5,1,4,1,0.052549941534079415
5,1,5,1,0.06685150789232527
5,1,6,1,0.060918349449129966
5,1,7,1,0.04296274060599573
5,1,8,1,0.044815010924494435
5,2,1,1,0.1716433091598158
5,2,2,1,0.18033680338169877
5,2,3,1,0.14410279437375903
5,2,4,1,0.16937874692168578
5,2,5,1,0.17621467562691012
5,2,6,1,0.17787348262532574
5,2,7,1,0.17612881527587698
5,2,8,1,0.17362435783383529
5,3,1,1,0.13457707849426215
5,3,2,1,0.14916726866053118
5,3,3,1,0.14408963823227458
5,3,4,1,0.1360589624545296
5,3,5,1,0.10023926608541261
5,3,6,1,0.12788893988345007
5,3,7,1,0.10601421434387438
5,3,8,1,0.12824905628466954
5,4,1,1,0.1773989755337413
5,4,2,1,0.18645729610932812
5,4,3,1,0.13693409826232802
5,4,4,1,0.17972942824803112
5,4,5,1,0.1848031736229572
5,4,6,1,0.18496851247680784
5,4,7,1,0.18482226055996953
5,4,8,1,0.18378544883903014
5,5,1,1,0.1773573440748463
5,5,2,1,0.18680186850976319
5,5,3,1,0.13326644023790296
5,5,4,1,0.18192778372012222
5,5,5,1,0.18231241895555383
5,5,6,1,0.18345894235132265
5,5,7,1,0.18467269543458426
5,5,8,1,0.18534972042445105
6,1,1,1,0.06037916586237414
6,1,2,1,0.07244255973565625
6,1,3,1,0.05190104297124637
6,1,4,1,0.052549941534079415
6,1,5,1,0.06685150789232527
6,1,6,1,0.060918349449129966
6,1,7,1,0.04296274060599573
6,1,8,1,0.044815010924494435
6,2,1,1,0.1716433091598158
6,2,2,1,0.18033680338169877
6,2,3,1,0.14410279437375903
6,2,4,1,0.16937874692168578
6,2,5,1,0.17621467562691012
6,2,6,1,0.17787348262532574
6,2,7,1,0.17612881527587698
6,2,8,1,0.17362435783383529
6,3,1,1,0.13457707849426215
6,3,2,1,0.14916726866053118
6,3,3,1,0.14408963823227458
6,3,4,1,0.1360589624545296
6,3,5,1,0.10023926608541261
6,3,6,1,0.12788893988345007
6,3,7,1,0.10601421434387438
6,3,8,1,0.12824905628466954
6,4,1,1,0.1773989755337413
6,4,2,1,0.18645729610932812
