missing_value,normalization,outlier,model,index_df1,index_df2,similarity
7,2,5,1,221,221,0.9996574626483801
7,2,6,1,222,222,0.9995557717669141
7,2,7,1,223,223,0.9994863876068227
7,3,1,1,224,224,0.9925413027309739
7,3,2,1,225,225,0.9865775590599423
7,3,3,1,226,226,0.9894801857533728
7,3,4,1,227,227,0.9897763773199137
7,3,5,1,228,228,0.990025648926173
7,3,6,1,229,229,0.9902933661114441
7,3,7,1,230,230,0.9909834881337352
7,4,1,1,231,231,0.8778954979868402
7,4,2,1,232,232,0.8523299760128187
7,4,3,1,233,233,0.8756013674329235
7,4,4,1,234,234,0.8842932004039928
7,4,5,1,235,235,0.8849104480726735
7,4,6,1,236,236,0.8812114850375401
7,4,7,1,237,237,0.8794014742904519
7,5,1,1,238,238,0.8751650875690201
7,5,2,1,239,239,0.8492878480241245
7,5,3,1,240,240,0.8761756468271291
7,5,4,1,241,241,0.8839695339847153
7,5,5,1,242,242,0.8842136797987591
7,5,6,1,243,243,0.8804872348023504
7,5,7,1,244,244,0.8776896808341128
8,1,1,1,245,245,0.838903519909097
8,1,2,1,246,246,0.8172901720550314
8,1,3,1,247,247,0.8525509129075228
8,1,4,1,248,248,0.838040483243756
8,1,5,1,249,249,0.8382838030151243
8,1,6,1,250,250,0.8360178256386676
8,1,7,1,251,251,0.8352686169059187
8,2,1,1,252,252,0.9996600793161694
8,2,2,1,253,253,0.9747514497621375
8,2,3,1,254,254,0.9991143113009996
8,2,4,1,255,255,0.9993973101660532
8,2,5,1,256,256,0.9996574626483801
8,2,6,1,257,257,0.9995557717669141
8,2,7,1,258,258,0.9994863876068227
8,3,1,1,259,259,0.9925413027309739
8,3,2,1,260,260,0.9865775590599423
8,3,3,1,261,261,0.9894801857533728
8,3,4,1,262,262,0.9897763773199137
8,3,5,1,263,263,0.990025648926173
8,3,6,1,264,264,0.9902933661114441
8,3,7,1,265,265,0.9909834881337352
8,4,1,1,266,266,0.8778954979868402
8,4,2,1,267,267,0.8523299760128187
8,4,3,1,268,268,0.8756013674329235
8,4,4,1,269,269,0.8842932004039928
8,4,5,1,270,270,0.8849104480726735
8,4,6,1,271,271,0.8812114850375401
8,4,7,1,272,272,0.8794014742904519
8,5,1,1,273,273,0.8751650875690201
8,5,2,1,274,274,0.8492878480241245
8,5,3,1,275,275,0.8761756468271291
8,5,4,1,276,276,0.8839695339847153
8,5,5,1,277,277,0.8842136797987591
8,5,6,1,278,278,0.8804872348023504
8,5,7,1,279,279,0.8776896808341128
9,1,1,1,280,280,0.838903519909097
9,1,2,1,281,281,0.8172901720550314
9,1,3,1,282,282,0.8525509129075228
9,1,4,1,283,283,0.838040483243756
9,1,5,1,284,284,0.8382838030151243
9,1,6,1,285,285,0.8360178256386676
9,1,7,1,286,286,0.8352686169059187
9,2,1,1,287,287,0.9996600793161694
9,2,2,1,288,288,0.9747514497621375
9,2,3,1,289,289,0.9991143113009996
9,2,4,1,290,290,0.9993973101660532
9,2,5,1,291,291,0.9996574626483801
