missing_value,normalization,model,index_df1,index_df2,similarity
5,1,1,20,142,0.8666191191495544
5,1,1,20,143,0.8468190458605247
5,1,1,20,144,0.840443107184243
5,1,1,20,145,0.8371135520012438
5,1,1,20,146,0.8362902224515624
5,2,1,21,147,0.8234123694065482
5,2,1,21,148,0.8280592981406774
5,2,1,21,149,0.8244797139911478
5,2,1,21,150,0.8229091950507313
5,2,1,21,151,0.8258135641872354
5,2,1,21,152,0.8272468053294058
5,2,1,21,153,0.8287134092053813
5,3,1,22,154,0.27597211931208665
5,3,1,22,155,0.3021260367836293
5,3,1,22,156,0.268984581376757
5,3,1,22,157,0.27915277380789627
5,3,1,22,158,0.27997050277479296
5,3,1,22,159,0.27785050375577963
5,3,1,22,160,0.2797816370273543
5,4,1,23,161,0.5516243816672943
5,4,1,23,162,0.5255600092702166
5,4,1,23,163,0.5529082338262309
5,4,1,23,164,0.5514546326734162
5,4,1,23,165,0.5520762344030513
5,4,1,23,166,0.5518531623153042
5,4,1,23,167,0.5506852410229656
5,5,1,24,168,0.5039369866198588
5,5,1,24,169,0.4931252523675865
5,5,1,24,170,0.5077787903581666
5,5,1,24,171,0.5172233049072663
5,5,1,24,172,0.516982723390369
5,5,1,24,173,0.5122921091399226
5,5,1,24,174,0.5100154674317088
6,1,1,25,175,0.6228325956273649
6,1,1,25,176,0.6449363964742759
6,1,1,25,177,0.6576434630858597
6,1,1,25,178,0.6310295499944321
6,1,1,25,179,0.6247797290236049
6,1,1,25,180,0.6224948693073812
6,1,1,25,181,0.6222585012107498
6,2,1,26,182,0.8234123694065482
6,2,1,26,183,0.8280592981406774
6,2,1,26,184,0.8244797139911478
6,2,1,26,185,0.8229091950507313
6,2,1,26,186,0.8258135641872354
6,2,1,26,187,0.8272468053294058
6,2,1,26,188,0.8287134092053813
6,3,1,27,189,0.2782310407274826
6,3,1,27,190,0.30190825493078893
6,3,1,27,191,0.27047428602261786
6,3,1,27,192,0.280417058118962
6,3,1,27,193,0.2812647124938522
6,3,1,27,194,0.2791816531636927
6,3,1,27,195,0.28078658767919057
6,4,1,28,196,0.5826791129561668
6,4,1,28,197,0.5615039538029504
6,4,1,28,198,0.5836959871979522
6,4,1,28,199,0.5839718659439815
6,4,1,28,200,0.5849784372757448
6,4,1,28,201,0.5846888319459169
6,4,1,28,202,0.5837116158229337
6,5,1,29,203,0.4343205502476979
6,5,1,29,204,0.43131457935855944
6,5,1,29,205,0.435616298918262
6,5,1,29,206,0.44047050614909056
6,5,1,29,207,0.4427985937359254
