2025-10-12 11:05:53,237 - DEBUG - [GridSearch] iter=5 | order=['normalization', 'punctuation', 'deduplication', 'missing_value', 'outlier', 'whitespace', 'stopword', 'model'] | vec=[3, 1, 1, 8, 4, 1, 1, 1] | utility=189.96
2025-10-12 11:05:53,321 - DEBUG - [GridSearch] iter=6 | order=['normalization', 'punctuation', 'whitespace', 'model'] | vec=[5, 2, 2, 1] | utility=188.80
2025-10-12 11:05:53,342 - DEBUG - [GridSearch] iter=7 | order=['model'] | vec=[1] | utility=188.80
2025-10-12 11:05:53,436 - DEBUG - [GridSearch] iter=8 | order=['normalization', 'model'] | vec=[1, 1] | utility=188.80
2025-10-12 11:05:53,607 - DEBUG - [GridSearch] iter=9 | order=['stopword', 'missing_value', 'outlier', 'punctuation', 'deduplication', 'normalization', 'model'] | vec=[2, 5, 1, 2, 2, 5, 1] | utility=282.48
2025-10-12 11:05:53,764 - DEBUG - [GridSearch] iter=10 | order=['deduplication', 'normalization', 'missing_value', 'outlier', 'punctuation', 'model'] | vec=[1, 2, 6, 6, 1, 1] | utility=171.08
2025-10-12 11:05:53,920 - DEBUG - [GridSearch] iter=11 | order=['outlier', 'deduplication', 'missing_value', 'normalization', 'punctuation', 'stopword', 'whitespace', 'model'] | vec=[6, 1, 9, 2, 2, 2, 2, 1] | utility=165.43
2025-10-12 11:05:53,936 - DEBUG - [GridSearch] iter=12 | order=['missing_value', 'model'] | vec=[9, 1] | utility=188.80
2025-10-12 11:05:53,982 - DEBUG - [GridSearch] iter=13 | order=['missing_value', 'stopword', 'model'] | vec=[1, 1, 1] | utility=188.80
2025-10-12 11:05:54,178 - DEBUG - [GridSearch] iter=14 | order=['deduplication', 'punctuation', 'outlier', 'normalization', 'missing_value', 'model'] | vec=[1, 1, 7, 4, 7, 1] | utility=166.35
2025-10-12 11:05:54,192 - DEBUG - [GridSearch] iter=15 | order=['whitespace', 'deduplication', 'missing_value', 'model'] | vec=[2, 2, 9, 1] | utility=282.48
