sampling,invalid_value,missing_value,floating_point,unit_converter,distribution_shape,multicollinearity,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
1,2,5,3,1,4,2,2,8,2,1,1,2,1,0.18393393393393392,0.18468468468468469,0.12725,1.98896,0.028331659148876566,1.9309358398038414,147.85,0.31,520.2,0.28,899.19,0.21,560.95,0.41,913.24,0.34,43.96,0.14,229.48,0.33,68.51,0.09,1360.46,0.56,1505.21,0.29,1345.91,0.28,1444.23,0.07,1418.03,0.31,1418.03,0.29,0.1553651990751085
2,1,6,4,1,3,1,4,4,1,2,1,2,1,0.17245291581574768,0.17358747447243023,0.13226,1.98456,0.02947588521195993,2.0019417475728156,305.66,0.33,52.85,0.3,6.8,0.37,101.72,0.27,3052.55,0.34,178.8,0.2,186.12,0.4,184.87,0.35,18.87,0.14,53.65,0.34,1278.65,0.08,1165.94,0.29,1165.94,0.28,42.78,0.09,0.06959759926685996
1,4,7,4,1,2,2,4,7,1,2,1,1,1,0.17533442533442534,0.17396942396942397,0.12975,2.00873,0.028794069415601,1.8664331070724764,143.96,0.31,470.37,0.29,860.55,0.21,518.24,0.4,871.29,0.33,47.8,0.15,214.72,0.33,61.23,0.09,11683.23,0.43,14037.7,0.23,13397.29,0.29,3812.85,0.08,11440.75,0.22,11440.75,0.24,0.144079821730137
3,2,8,2,1,2,2,4,5,2,2,2,2,1,0.15446821578462483,0.15876752994165216,0.12984,1.03757,0.03245267979770777,2.0269974461875226,97.76,0.31,307.0,0.28,548.06,0.25,334.3,0.51,569.81,0.72,30.36,0.16,157.43,1.0,55.26,0.09,8121.56,0.45,9824.51,0.23,9409.73,0.27,2205.56,0.08,7802.99,0.27,7802.99,0.27,0.12372879878169285
1,2,2,2,2,2,1,4,8,2,1,1,2,1,0.15076440076440076,0.1511056511056511,0.12946,1.9659,0.028935320160834305,1.8798961263795715,11987.73,0.52,144.5,0.3,14378.25,0.24,474.63,0.29,13753.6,0.26,868.81,0.21,519.74,0.4,878.78,0.33,52.21,0.15,219.35,0.34,3899.85,0.08,11792.18,0.27,11792.18,0.26,67.17,0.09,0.13354115974281544
1,2,3,4,2,4,2,5,1,2,1,1,2,1,0.17615342615342616,0.17615342615342616,0.12747,2.01854,0.028241944391012717,1.9333333333333333,144.09,0.31,528.56,0.29,888.66,0.21,567.82,0.41,904.76,0.34,42.29,0.14,234.18,0.33,69.27,0.1,376.6,0.52,79.81,0.24,2146.69,0.26,3515.09,0.08,255.36,0.33,255.36,0.35,0.15120792291053065
2,1,2,4,1,2,2,1,8,2,2,1,1,1,0.1729067392784207,0.1729067392784207,0.12386,1.90915,0.02794848845585523,2.05096011816839,60.03,0.0,141.15,0.0,249.81,0.0,207.23,0.0,252.21,0.0,28.35,0.0,64.33,0.0,51.62,0.0,19499.6,0.33,177387.79,0.28,34057.09,0.35,107.95,0.08,121200.53,0.19,121200.54,0.19,0.07202944706230745
1,3,2,2,1,3,1,4,1,1,1,2,1,1,0.1625034125034125,0.15915915915915915,0.12747,2.01854,0.028241944391012717,1.9333333333333333,1670.2,0.27,144.09,0.31,52.12,0.34,528.56,0.29,14652.6,0.36,888.66,0.21,567.82,0.41,904.76,0.34,42.29,0.14,234.18,0.33,6242.05,0.08,5185.58,0.3,5185.58,0.31,69.27,0.1,0.0677404207765718
2,3,5,3,2,2,2,2,8,2,2,2,2,1,0.1729067392784207,0.17358747447243023,0.12825,1.89749,0.02899436670148732,2.041727672035139,63.12,0.3,132.17,0.27,270.87,0.21,196.1,0.4,275.44,0.36,21.7,0.13,69.42,0.35,53.47,0.09,434.2,0.31,360.71,0.28,351.89,0.34,514.86,0.07,400.47,0.24,400.47,0.28,0.06590688569763455
3,3,1,2,1,4,1,2,2,2,2,2,1,1,0.19858736820554818,0.1964377111270345,0.14824,1.12827,0.036931055878346254,2.0816246056782335,981.03,0.43,57.5,0.26,645.73,0.33,246.69,0.23,466.15,0.3,566.9,0.24,278.5,0.51,573.1,0.7,27.24,0.11,194.49,1.0,1791.16,0.05,627.85,0.3,627.85,0.3,39.98,0.05,0.12181149714693183
1,1,1,2,2,3,2,1,1,2,1,1,1,1,0.1528801528801529,0.1528801528801529,0.12747,2.01854,0.028241944391012717,1.9333333333333333,144.09,0.0,528.56,0.0,888.66,0.0,567.82,0.0,904.76,0.0,42.29,0.0,234.18,0.0,69.27,0.0,4239.53,0.27,80549.15,0.34,132662.1,0.36,779.79,0.08,380218.69,0.29,380218.7,0.31,0.06773095894295927
3,3,1,4,2,4,2,2,8,1,2,2,2,1,0.18988637526870714,0.18927218753198893,0.13391,1.00104,0.03348095980608628,2.08448,89.69,0.31,326.54,0.28,625.83,0.26,345.72,0.52,644.68,0.71,31.26,0.15,196.62,1.0,57.87,0.09,829.66,0.44,918.94,0.37,820.91,0.35,878.08,0.07,851.27,0.28,851.27,0.25,0.1001454564303616
2,3,6,4,2,1,2,3,3,2,2,2,2,1,0.14703880190605853,0.14749262536873156,0.12703,1.91241,0.02866488964887134,2.0380710659898478,0.0,1.0,9.02,0.56,74.89,0.24,30.72,0.47,73.26,0.31,0.0,1.0,19.15,0.34,0.0,1.0,439.44,0.32,246.06,0.44,170.0,0.31,586.83,1.0,0.27,0.25,0.27,0.18,0.06870229007633588
2,4,4,3,2,1,1,1,2,1,1,1,1,1,0.15868140868140868,0.15868140868140868,0.13097,2.42719,0.027070767594393502,1.9553706505295008,31526.69,0.41,65.76,0.0,13457.03,0.25,106.06,0.0,81491.44,0.2,223.36,0.0,177.79,0.0,267.22,0.0,10.38,0.0,61.27,0.0,195.0,0.07,78579.55,0.3,78579.56,0.29,36.88,0.0,0.08819260837311928
2,1,4,2,2,2,2,2,4,1,1,2,1,1,0.17547092547092547,0.1762899262899263,0.11516,1.95912,0.025772170738826795,1.9884393063583814,52.95,0.31,130.9,0.27,185.95,0.18,189.05,0.4,227.02,0.35,16.37,0.14,47.71,0.34,50.15,0.09,311.74,0.34,340.47,0.27,360.25,0.35,330.47,0.09,370.56,0.23,370.56,0.23,0.07285991779703703
1,4,9,3,2,4,1,4,3,1,2,2,2,1,0.1790881790881791,0.17847392847392848,0.12425,2.17297,0.026823669145867757,1.9186800235710078,3113.97,0.48,0.0,1.0,33.21,0.27,108.7,0.41,993.07,0.19,299.05,0.22,129.07,0.46,300.67,0.29,0.0,1.0,72.73,0.32,2580.94,1.0,149.38,0.28,149.38,0.29,0.0,1.0,0.10131310964185997
