sampling,invalid_value,missing_value,floating_point,unit_converter,distribution_shape,model,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
3,1,7,2,2,3,1,0.1271,1.0,0.03177751129969559,2.075744680851064,3115.93,0.28,100.58,0.0,60236.38,0.35,361.51,0.0,97866.69,0.35,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,546.54,0.08,265386.85,0.28,265386.86,0.22,62.13,0.0,0.06775580417153412
2,1,5,4,1,4,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,17373.46,0.41,73.36,0.0,22312.11,0.34,158.65,0.0,40541.02,0.35,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,51148.97,0.09,46707.32,0.29,46707.31,0.31,50.57,0.0,0.08290236817647498
2,3,6,2,1,3,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,1402.92,0.33,73.36,0.0,26600.72,0.33,158.65,0.0,42393.24,0.35,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,292.9,0.09,124571.87,0.25,124571.87,0.28,50.57,0.0,0.06655768980778776
1,3,1,3,2,1,1,0.12747,2.01854,0.028241944391012717,1.9333333333333333,1749.29,0.33,144.09,0.0,32096.07,0.38,528.56,0.0,1574.05,0.36,888.66,0.0,567.82,0.0,904.76,0.0,42.29,0.0,234.18,0.0,297.01,0.08,151907.39,0.35,151907.39,0.35,69.27,0.0,0.044918351945390844
3,2,8,1,1,2,1,0.1271,1.0,0.03177751129969559,2.075744680851064,346338.42,0.45,100.58,0.0,2534284.63,0.25,361.51,0.0,161346.85,0.21,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,205.01,0.08,308139.11,0.23,308139.11,0.22,62.13,0.0,0.11692635537554162
1,2,6,1,2,1,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,135816.06,0.44,164.17,0.0,56411.52,0.29,581.98,0.0,241960.47,0.3,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,835.7,0.08,167443.8,0.33,167443.8,0.35,68.13,0.0,0.07724148945913889
1,3,8,1,1,4,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,56585.75,0.39,164.17,0.0,74041.25,0.37,581.98,0.0,139630.57,0.36,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,183887.57,0.08,161658.7,0.31,161658.71,0.35,68.13,0.0,0.07576165868214067
3,3,5,2,2,3,1,0.1271,1.0,0.03177751129969559,2.075744680851064,3115.93,0.28,100.58,0.0,60236.38,0.35,361.51,0.0,97866.69,0.35,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,546.54,0.08,265386.85,0.28,265386.86,0.22,62.13,0.0,0.06775580417153412
1,1,2,4,1,2,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,76137.23,0.34,164.17,0.0,695259.33,0.28,581.98,0.0,130725.19,0.36,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,372.11,0.08,473599.91,0.22,473599.92,0.24,68.13,0.0,0.07150345508316194
2,4,1,1,1,2,1,0.13113,1.90399,0.02961510350619889,2.050428163653663,100823.28,0.41,36.12,0.0,699482.08,0.23,101.32,0.0,46865.29,0.27,207.57,0.0,152.36,0.0,212.5,0.0,12.38,0.0,55.89,0.0,75.24,0.08,91876.3,0.22,91876.31,0.25,40.92,0.0,0.11823797901239676
3,2,4,4,1,3,1,0.1271,1.0,0.03177751129969559,2.075744680851064,229947.64,0.47,100.58,0.0,105016.0,0.23,361.51,0.0,223581.73,0.25,564.94,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,643.47,0.07,265386.85,0.29,265386.86,0.22,62.13,0.0,0.11971960892824202
2,2,8,2,2,2,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,157858.8,0.41,73.36,0.0,1130219.83,0.22,158.65,0.0,72216.38,0.25,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,135.6,0.09,141208.74,0.26,141208.75,0.23,50.57,0.0,0.11020595192219172
2,3,8,2,1,1,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,569.74,0.32,73.36,0.0,10569.91,0.38,158.65,0.0,547.61,0.35,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,110.5,0.09,50044.96,0.29,50044.96,0.28,50.57,0.0,0.04436832358678973
