,init pf,init block clean threshold,init weighting schema,init matching threshold,f-score goal,param iterations,param f-score,proj iterations,proj f-score,profile iterations,profile f-score,grid search iterations,grid search f-score
707,0,0.1625,2,0.6125,0.9,1,0.94549,1,0.94549,2,0.94631,5.0,0.92769
708,0,0.1625,2,0.725,0.9,1,0.96385,1,0.96385,2,0.96385,5.0,0.92769
709,0,0.1625,2,0.8375,0.9,1,0.92769,1,0.92769,2,0.92769,5.0,0.92769
710,0,0.1625,2,0.95,0.9,12,0.92769,15,0.91265,8,0.96247,5.0,0.92769
711,0,0.1625,3,0.05,0.9,11,0.92769,34,0.94367,8,0.96247,5.0,0.92769
712,0,0.1625,3,0.1625,0.9,22,0.91947,15,0.91119,8,0.96247,5.0,0.92769
713,0,0.1625,3,0.275,0.9,11,0.92769,22,0.91947,8,0.96247,5.0,0.92769
714,0,0.1625,3,0.3875,0.9,22,0.91947,15,0.91119,7,0.96247,5.0,0.92769
715,0,0.1625,3,0.5,0.9,3,0.90991,3,0.90991,2,0.90991,5.0,0.92769
716,0,0.1625,3,0.6125,0.9,1,0.94367,1,0.94367,2,0.94613,5.0,0.92769
717,0,0.1625,3,0.725,0.9,1,0.96385,1,0.96385,1,0.96385,5.0,0.92769
718,0,0.1625,3,0.8375,0.9,1,0.92769,1,0.92769,1,0.92769,5.0,0.92769
719,0,0.1625,3,0.95,0.9,11,0.92769,15,0.90991,5,0.96247,5.0,0.92769
720,0,0.275,0,0.05,0.9,11,0.92667,34,0.94367,7,0.96247,5.0,0.92769
721,0,0.275,0,0.1625,0.9,21,0.91947,20,0.91947,9,0.96247,5.0,0.92769
722,0,0.275,0,0.275,0.9,11,0.92667,21,0.91947,9,0.96247,5.0,0.92769
723,0,0.275,0,0.3875,0.9,21,0.91947,20,0.91947,9,0.96247,5.0,0.92769
724,0,0.275,0,0.5,0.9,1,0.90024,1,0.90024,2,0.90582,5.0,0.92769
725,0,0.275,0,0.6125,0.9,1,0.94193,1,0.94193,1,0.94193,5.0,0.92769
726,0,0.275,0,0.725,0.9,1,0.96247,1,0.96247,1,0.96247,5.0,0.92769
727,0,0.275,0,0.8375,0.9,1,0.92667,1,0.92667,1,0.92667,5.0,0.92769
728,0,0.275,0,0.95,0.9,10,0.92667,17,0.94367,7,0.96247,5.0,0.92769
