,init pf,init block clean threshold,init weighting schema,init matching threshold,f-score goal,param iterations,param f-score,proj iterations,proj f-score,profile iterations,profile f-score,grid search iterations,grid search f-score
162,0,0.69286,0,0.30714,0.8,17,0.83986,17,0.83986,8,0.96062,3.0,0.91242
163,0,0.69286,0,0.43571,0.8,4,0.81126,4,0.81126,4,0.91816,3.0,0.91242
164,0,0.69286,0,0.56429,0.8,1,0.93035,1,0.93035,1,0.93035,3.0,0.91242
165,0,0.69286,0,0.69286,0.8,1,0.96062,1,0.96062,1,0.96062,3.0,0.91242
166,0,0.69286,0,0.82143,0.8,1,0.94206,1,0.94206,1,0.94206,3.0,0.91242
167,0,0.69286,0,0.95,0.8,9,0.94206,13,0.93035,7,0.96062,3.0,0.91242
168,0,0.69286,1,0.05,0.8,12,0.81475,13,0.80715,8,0.96062,3.0,0.91242
169,0,0.69286,1,0.17857,0.8,20,0.83986,20,0.83986,7,0.96062,3.0,0.91242
170,0,0.69286,1,0.30714,0.8,13,0.81475,14,0.80715,7,0.96062,3.0,0.91242
171,0,0.69286,1,0.43571,0.8,4,0.8166,4,0.8166,5,0.91816,3.0,0.91242
172,0,0.69286,1,0.56429,0.8,1,0.93591,1,0.93591,2,0.93591,3.0,0.91242
173,0,0.69286,1,0.69286,0.8,1,0.9607,1,0.9607,2,0.9607,3.0,0.91242
174,0,0.69286,1,0.82143,0.8,1,0.93874,1,0.93874,2,0.94206,3.0,0.91242
175,0,0.69286,1,0.95,0.8,11,0.94306,15,0.93207,8,0.96062,3.0,0.91242
176,0,0.69286,2,0.05,0.8,12,0.81524,13,0.80285,9,0.96062,3.0,0.91242
177,0,0.69286,2,0.17857,0.8,13,0.81524,13,0.80285,8,0.96062,3.0,0.91242
178,0,0.69286,2,0.30714,0.8,12,0.91242,13,0.88413,8,0.96062,3.0,0.91242
179,0,0.69286,2,0.43571,0.8,4,0.80715,4,0.80715,5,0.96062,3.0,0.91242
180,0,0.69286,2,0.56429,0.8,1,0.93562,1,0.93562,2,0.93562,3.0,0.91242
181,0,0.69286,2,0.69286,0.8,1,0.96071,1,0.96071,2,0.96071,3.0,0.91242
182,0,0.69286,2,0.82143,0.8,1,0.94306,1,0.94306,2,0.94306,3.0,0.91242
183,0,0.69286,2,0.95,0.8,10,0.94306,14,0.93562,8,0.96062,3.0,0.91242
184,0,0.69286,3,0.05,0.8,10,0.81475,11,0.80715,9,0.96062,3.0,0.91242
185,0,0.69286,3,0.17857,0.8,11,0.81475,12,0.80715,9,0.96062,3.0,0.91242
186,0,0.69286,3,0.30714,0.8,11,0.81475,11,0.80715,9,0.96062,3.0,0.91242
187,0,0.69286,3,0.43571,0.8,3,0.80715,3,0.80715,2,0.80715,3.0,0.91242
188,0,0.69286,3,0.56429,0.8,1,0.93207,1,0.93207,1,0.93207,3.0,0.91242
189,0,0.69286,3,0.69286,0.8,1,0.96071,1,0.96071,1,0.96071,3.0,0.91242
190,0,0.69286,3,0.82143,0.8,1,0.94306,1,0.94306,1,0.94306,3.0,0.91242
191,0,0.69286,3,0.95,0.8,11,0.94306,14,0.93207,5,0.96062,3.0,0.91242
192,0,0.82143,0,0.05,0.8,13,0.81475,13,0.80715,7,0.96062,3.0,0.91242
193,0,0.82143,0,0.17857,0.8,18,0.83986,18,0.83986,8,0.96062,3.0,0.91242
194,0,0.82143,0,0.30714,0.8,13,0.81475,14,0.80715,8,0.96062,3.0,0.91242
195,0,0.82143,0,0.43571,0.8,3,0.81126,3,0.81126,4,0.91816,3.0,0.91242
196,0,0.82143,0,0.56429,0.8,1,0.93035,1,0.93035,1,0.93035,3.0,0.91242
197,0,0.82143,0,0.69286,0.8,1,0.96062,1,0.96062,1,0.96062,3.0,0.91242
198,0,0.82143,0,0.82143,0.8,1,0.94206,1,0.94206,1,0.94206,3.0,0.91242
199,0,0.82143,0,0.95,0.8,10,0.94306,15,0.93207,7,0.96062,3.0,0.91242
200,0,0.82143,1,0.05,0.8,19,0.83986,19,0.83986,8,0.96062,3.0,0.91242
