,blocking threshold,match threshold,precision,recall,f-score,acc
381,0.08,0.81,0.99363,0.84173,0.91139,0.97168
382,0.08,0.82,0.99358,0.83543,0.90767,0.9706
383,0.08,0.83,0.99355,0.83138,0.90526,0.96989
384,0.08,0.84,0.99392,0.80845,0.89164,0.96601
385,0.08,0.85,0.99388,0.80261,0.88806,0.96499
386,0.08,0.86,0.99434,0.78957,0.8802,0.96282
387,0.08,0.87,0.99418,0.76754,0.86628,0.959
388,0.08,0.88,0.99585,0.75495,0.85883,0.95706
389,0.08,0.89,0.99569,0.72797,0.84104,0.95239
390,0.08,0.9,0.99568,0.72482,0.83893,0.95185
391,0.08,0.91,0.9955,0.69559,0.81895,0.94679
392,0.08,0.92,0.99534,0.67266,0.80279,0.94282
393,0.08,0.93,0.99656,0.65108,0.7876,0.93925
394,0.08,0.94,0.99781,0.61556,0.7614,0.93326
395,0.08,0.95,0.9985,0.59667,0.74697,0.93007
396,0.08,0.96,0.99843,0.57194,0.72727,0.92579
397,0.08,0.97,0.99836,0.54856,0.70807,0.92174
398,0.08,0.98,0.99833,0.53867,0.69977,0.92003
399,0.08,0.99,0.99833,0.53732,0.69863,0.9198
400,0.09,0.0,0.18996,0.90378,0.31394,0.1862
401,0.09,0.01,0.19036,0.90378,0.31448,0.18824
402,0.09,0.02,0.21027,0.90378,0.34117,0.28087
403,0.09,0.03,0.25392,0.90378,0.39645,0.43307
404,0.09,0.04,0.30734,0.90378,0.4587,0.56054
405,0.09,0.05,0.3608,0.90378,0.51572,0.6503
406,0.09,0.06,0.4102,0.90378,0.56429,0.71246
407,0.09,0.07,0.45332,0.90378,0.60379,0.75563
408,0.09,0.08,0.48098,0.90378,0.62783,0.77925
409,0.09,0.09,0.50706,0.90378,0.64964,0.79917
410,0.09,0.1,0.5248,0.90378,0.66402,0.81158
411,0.09,0.11,0.53287,0.90378,0.67044,0.81695
412,0.09,0.12,0.54486,0.90378,0.67986,0.82464
413,0.09,0.13,0.55099,0.90378,0.68461,0.82844
414,0.09,0.14,0.55818,0.90378,0.69013,0.83279
415,0.09,0.15,0.56224,0.90378,0.69323,0.8352
416,0.09,0.16,0.56508,0.90378,0.69538,0.83687
417,0.09,0.17,0.56828,0.90378,0.6978,0.83872
418,0.09,0.18,0.57102,0.90378,0.69986,0.8403
419,0.09,0.19,0.57347,0.90378,0.7017,0.84169
420,0.09,0.2,0.57643,0.90378,0.70391,0.84335
421,0.09,0.21,0.57808,0.90378,0.70514,0.84428
422,0.09,0.22,0.57958,0.90378,0.70625,0.84511
423,0.09,0.23,0.58025,0.90378,0.70675,0.84548
424,0.09,0.24,0.5821,0.90378,0.70812,0.8465
425,0.09,0.25,0.58481,0.90378,0.71012,0.84799
426,0.09,0.26,0.58824,0.90378,0.71264,0.84984
427,0.09,0.27,0.58962,0.90378,0.71366,0.85058
428,0.09,0.28,0.591,0.90378,0.71467,0.85132
429,0.09,0.29,0.59205,0.90378,0.71543,0.85188
430,0.09,0.3,0.59257,0.90378,0.71581,0.85215
431,0.09,0.31,0.59485,0.90378,0.71747,0.85336
432,0.09,0.32,0.59591,0.90378,0.71824,0.85391
433,0.09,0.33,0.59857,0.90378,0.72017,0.8553
434,0.09,0.34,0.59946,0.90378,0.72082,0.85577
435,0.09,0.35,0.60652,0.90378,0.7259,0.85938
436,0.09,0.36,0.66337,0.90378,0.76513,0.88569
437,0.09,0.37,0.70675,0.90378,0.79321,0.90292
438,0.09,0.38,0.75422,0.90378,0.82225,0.9195
439,0.09,0.39,0.80048,0.90378,0.849,0.93377
440,0.09,0.4,0.83855,0.90378,0.86994,0.94433
441,0.09,0.41,0.85678,0.90378,0.87965,0.94905
