,init pf,init block clean threshold,init weighting schema,init matching threshold,historical data size,param iterations,param f-score,proj iterations,proj f-score,profile iterations,profile f-score,grid search iterations,grid search f-score
94,0,0.30714,3,0.82143,36,14,0.96071,15,0.96071,267,0.95808,23.0,0.96036
95,0,0.30714,3,0.95,36,15,0.96071,15,0.96071,220,0.96071,23.0,0.96036
96,0,0.43571,0,0.05,36,17,0.96071,19,0.96284,220,0.96071,23.0,0.96036
97,0,0.43571,0,0.17857,36,21,0.96071,36,0.95808,224,0.96071,23.0,0.96036
98,0,0.43571,0,0.30714,36,17,0.96071,37,0.95808,223,0.96071,23.0,0.96036
99,0,0.43571,0,0.43571,36,21,0.96071,36,0.95808,270,0.95808,23.0,0.96036
100,0,0.43571,0,0.56429,36,17,0.96402,16,0.96359,268,0.95808,23.0,0.96036
101,0,0.43571,0,0.69286,36,1,0.96062,1,0.96062,4,0.95959,23.0,0.96036
102,0,0.43571,0,0.82143,36,15,0.96071,14,0.96062,268,0.95808,23.0,0.96036
103,0,0.43571,0,0.95,36,14,0.96071,17,0.96071,221,0.96071,23.0,0.96036
104,0,0.43571,1,0.05,36,21,0.96071,36,0.95808,226,0.96071,23.0,0.96036
105,0,0.43571,1,0.17857,36,17,0.96071,38,0.95808,227,0.96071,23.0,0.96036
106,0,0.43571,1,0.30714,36,22,0.96071,37,0.95808,222,0.96071,23.0,0.96036
107,0,0.43571,1,0.43571,36,23,0.96071,37,0.95808,270,0.95808,23.0,0.96036
108,0,0.43571,1,0.56429,36,17,0.96165,15,0.96165,268,0.95808,23.0,0.96036
109,0,0.43571,1,0.69286,36,1,0.9607,1,0.9607,4,0.95959,23.0,0.96036
110,0,0.43571,1,0.82143,36,14,0.96071,17,0.96071,267,0.95808,23.0,0.96036
111,0,0.43571,1,0.95,36,15,0.96071,16,0.96062,221,0.96071,23.0,0.96036
112,0,0.43571,2,0.05,36,17,0.96071,19,0.96284,220,0.96071,23.0,0.96036
113,0,0.43571,2,0.17857,36,22,0.96071,37,0.95808,228,0.96071,23.0,0.96036
