,q size,pf,block clean threshold,weighting schema,matching threshold,stop count,av sim,sim q1,sim q2,sim q3,f-score
204,0,0,0.82143,1,0.56429,0,1.0,1.0,1.0,1.0,0.0491
205,0,0,0.82143,1,0.69286,0,1.0,1.0,1.0,1.0,0.0
206,0,0,0.82143,1,0.82143,0,1.0,1.0,1.0,1.0,0.0
207,0,0,0.82143,1,0.95,0,1.0,1.0,1.0,1.0,0.0
208,0,0,0.82143,2,0.05,0,0.0,0.0,0.0,0.0,0.0
209,0,0,0.82143,2,0.17857,0,0.0,0.0,0.0,0.0,0.0
210,0,0,0.82143,2,0.30714,0,0.0,0.0,0.0,0.0,0.0
211,0,0,0.82143,2,0.43571,0,0.0,0.0,0.0,0.0,0.0
212,0,0,0.82143,2,0.56429,0,0.0,0.0,0.0,0.0,0.0
213,0,0,0.82143,2,0.69286,0,0.0,0.0,0.0,0.0,0.0
214,0,0,0.82143,2,0.82143,0,0.0,0.0,0.0,0.0,0.0
215,0,0,0.82143,2,0.95,0,0.0,0.0,0.0,0.0,0.0
216,0,0,0.82143,3,0.05,0,1.0,1.0,1.0,1.0,0.04511
217,0,0,0.82143,3,0.17857,0,1.0,1.0,1.0,1.0,0.04511
218,0,0,0.82143,3,0.30714,0,1.0,1.0,1.0,1.0,0.04511
219,0,0,0.82143,3,0.43571,0,1.0,1.0,1.0,1.0,0.0491
220,0,0,0.82143,3,0.56429,0,1.0,1.0,1.0,1.0,0.0491
221,0,0,0.82143,3,0.69286,0,1.0,1.0,1.0,1.0,0.0
222,0,0,0.82143,3,0.82143,0,1.0,1.0,1.0,1.0,0.0
223,0,0,0.82143,3,0.95,0,1.0,1.0,1.0,1.0,0.0
224,0,0,0.95,0,0.05,0,1.0,1.0,1.0,1.0,0.03385
225,0,0,0.95,0,0.17857,0,1.0,1.0,1.0,1.0,0.03385
226,0,0,0.95,0,0.30714,0,1.0,1.0,1.0,1.0,0.03385
227,0,0,0.95,0,0.43571,0,1.0,1.0,1.0,1.0,0.03438
228,0,0,0.95,0,0.56429,0,1.0,1.0,1.0,1.0,0.03438
229,0,0,0.95,0,0.69286,0,1.0,1.0,1.0,1.0,0.0
230,0,0,0.95,0,0.82143,0,1.0,1.0,1.0,1.0,0.0
231,0,0,0.95,0,0.95,0,1.0,1.0,1.0,1.0,0.0
232,0,0,0.95,1,0.05,0,1.0,1.0,1.0,1.0,0.04511
233,0,0,0.95,1,0.17857,0,1.0,1.0,1.0,1.0,0.04511
234,0,0,0.95,1,0.30714,0,1.0,1.0,1.0,1.0,0.04511
235,0,0,0.95,1,0.43571,0,1.0,1.0,1.0,1.0,0.0491
236,0,0,0.95,1,0.56429,0,1.0,1.0,1.0,1.0,0.0491
237,0,0,0.95,1,0.69286,0,1.0,1.0,1.0,1.0,0.0
238,0,0,0.95,1,0.82143,0,1.0,1.0,1.0,1.0,0.0
239,0,0,0.95,1,0.95,0,1.0,1.0,1.0,1.0,0.0
240,0,0,0.95,2,0.05,0,0.0,0.0,0.0,0.0,0.0
241,0,0,0.95,2,0.17857,0,0.0,0.0,0.0,0.0,0.0
242,0,0,0.95,2,0.30714,0,0.0,0.0,0.0,0.0,0.0
