,init pf,init block clean threshold,init weighting schema,init matching threshold,search space size,param iterations,param f-score,proj iterations,proj f-score,profile iterations,profile f-score,grid search iterations,grid search f-score
416,1,0.275,2,0.275,648,14,0.95572,17,0.95572,5,0.96247,24.0,0.96178
417,1,0.275,2,0.3875,648,15,0.95572,17,0.95572,5,0.96247,24.0,0.96178
418,1,0.275,2,0.5,648,14,0.95572,17,0.95572,5,0.96247,24.0,0.96178
419,1,0.275,2,0.6125,648,15,0.95572,17,0.95572,7,0.96247,24.0,0.96178
420,1,0.275,2,0.725,648,1,0.95572,1,0.95572,3,0.96385,24.0,0.96178
421,1,0.275,2,0.8375,648,14,0.96385,19,0.96385,10,0.96247,24.0,0.96178
422,1,0.275,2,0.95,648,14,0.95572,18,0.95572,9,0.96247,24.0,0.96178
423,1,0.275,3,0.05,648,26,0.96303,40,0.96303,8,0.96247,24.0,0.96178
424,1,0.275,3,0.1625,648,27,0.96303,42,0.96303,4,0.96247,24.0,0.96178
425,1,0.275,3,0.275,648,26,0.96303,41,0.96303,4,0.96247,24.0,0.96178
426,1,0.275,3,0.3875,648,15,0.95604,17,0.95604,4,0.96247,24.0,0.96178
427,1,0.275,3,0.5,648,13,0.95604,16,0.95604,4,0.96247,24.0,0.96178
428,1,0.275,3,0.6125,648,15,0.95604,17,0.95604,5,0.96247,24.0,0.96178
429,1,0.275,3,0.725,648,1,0.95604,1,0.95604,2,0.96385,24.0,0.96178
430,1,0.275,3,0.8375,648,13,0.96385,18,0.96385,6,0.96247,24.0,0.96178
431,1,0.275,3,0.95,648,14,0.96385,19,0.96385,6,0.96247,24.0,0.96178
432,1,0.3875,0,0.05,648,27,0.96303,41,0.96303,7,0.96247,24.0,0.96178
433,1,0.3875,0,0.1625,648,19,0.96247,19,0.96247,6,0.96247,24.0,0.96178
434,1,0.3875,0,0.275,648,27,0.96303,42,0.96303,6,0.96247,24.0,0.96178
435,1,0.3875,0,0.3875,648,19,0.96247,19,0.96247,6,0.96247,24.0,0.96178
436,1,0.3875,0,0.5,648,15,0.95019,18,0.95019,6,0.96247,24.0,0.96178
437,1,0.3875,0,0.6125,648,14,0.96247,17,0.96247,8,0.96247,24.0,0.96178
438,1,0.3875,0,0.725,648,3,0.96247,3,0.96247,2,0.96247,24.0,0.96178
439,1,0.3875,0,0.8375,648,14,0.96385,19,0.96385,9,0.96247,24.0,0.96178
440,1,0.3875,0,0.95,648,12,0.96247,41,0.96303,8,0.96247,24.0,0.96178
441,1,0.3875,1,0.05,648,26,0.96303,34,0.96303,8,0.96247,24.0,0.96178
442,1,0.3875,1,0.1625,648,26,0.96303,35,0.96303,6,0.96247,24.0,0.96178
443,1,0.3875,1,0.275,648,27,0.96303,39,0.96303,6,0.96247,24.0,0.96178
444,1,0.3875,1,0.3875,648,21,0.96247,21,0.96247,6,0.96247,24.0,0.96178
445,1,0.3875,1,0.5,648,15,0.96253,18,0.96253,7,0.96247,24.0,0.96178
446,1,0.3875,1,0.6125,648,15,0.96253,18,0.96253,7,0.96247,24.0,0.96178
447,1,0.3875,1,0.725,648,3,0.96303,3,0.96303,3,0.96303,24.0,0.96178
