,q size,pf,block clean threshold,weighting schema,matching threshold,stop count,av sim,sim q1,sim q2,sim q3,sample f-score,f-score
119,0,1,0.95,1,0.95,34,0.96,1.0,1.0,1.0,0.0,0.02487
120,0,1,0.95,2,0.05,54,0.94167,1.0,1.0,1.0,0.09678,0.04311
121,0,1,0.95,2,0.35,54,0.94167,1.0,1.0,1.0,0.09678,0.04311
122,0,1,0.95,2,0.65,54,0.94167,1.0,1.0,1.0,0.0813,0.04225
123,0,1,0.95,2,0.95,54,0.94167,1.0,1.0,1.0,0.0,0.02487
124,0,1,0.95,3,0.05,82,0.96111,1.0,1.0,1.0,0.14173,0.0877
125,0,1,0.95,3,0.35,82,0.96111,1.0,1.0,1.0,0.14173,0.0877
126,0,1,0.95,3,0.65,82,0.96111,1.0,1.0,1.0,0.12699,0.08688
127,0,1,0.95,3,0.95,82,0.96111,1.0,1.0,1.0,0.0,0.0568
128,4,0,0.05,0,0.05,34602,0.10382,0.0,0.0625,0.11111,0.27458,0.03074
129,4,0,0.05,0,0.35,34602,0.10382,0.0,0.0625,0.11111,0.53034,0.08786
130,4,0,0.05,0,0.65,34602,0.10382,0.0,0.0625,0.11111,0.94923,0.94484
131,4,0,0.05,0,0.95,34602,0.10382,0.0,0.0625,0.11111,0.0,0.78393
132,4,0,0.05,1,0.05,51426,0.0979,0.04348,0.06667,0.11111,0.20684,0.02088
133,4,0,0.05,1,0.35,51426,0.0979,0.04348,0.06667,0.11111,0.41807,0.05687
134,4,0,0.05,1,0.65,51426,0.0979,0.04348,0.06667,0.11111,0.94923,0.94522
135,4,0,0.05,1,0.95,51426,0.0979,0.04348,0.06667,0.11111,0.0,0.78393
136,4,0,0.05,2,0.05,50934,0.09677,0.0,0.06667,0.11111,0.20336,0.02004
137,4,0,0.05,2,0.35,50934,0.09677,0.0,0.06667,0.11111,0.4144,0.05489
138,4,0,0.05,2,0.65,50934,0.09677,0.0,0.06667,0.11111,0.94923,0.944
139,4,0,0.05,2,0.95,50934,0.09677,0.0,0.06667,0.11111,0.0,0.78393
140,4,0,0.05,3,0.05,41517,0.10374,0.0,0.07143,0.11765,0.22118,0.02021
141,4,0,0.05,3,0.35,41517,0.10374,0.0,0.07143,0.11765,0.4491,0.05621
142,4,0,0.05,3,0.65,41517,0.10374,0.0,0.07143,0.11765,0.94923,0.94464
143,4,0,0.05,3,0.95,41517,0.10374,0.0,0.07143,0.11765,0.0,0.78393
144,4,0,0.35,0,0.05,7923,0.23575,0.05409,0.09524,0.2,0.54205,0.07829
145,4,0,0.35,0,0.35,7923,0.23575,0.05409,0.09524,0.2,0.8,0.2202
146,4,0,0.35,0,0.65,7923,0.23575,0.05409,0.09524,0.2,0.93987,0.94746
147,4,0,0.35,0,0.95,7923,0.23575,0.05409,0.09524,0.2,0.0,0.78393
148,4,0,0.35,1,0.05,9778,0.20917,0.05556,0.08333,0.18182,0.49049,0.07106
149,4,0,0.35,1,0.35,9778,0.20917,0.05556,0.08333,0.18182,0.75941,0.20601
150,4,0,0.35,1,0.65,9778,0.20917,0.05556,0.08333,0.18182,0.93987,0.94762
151,4,0,0.35,1,0.95,9778,0.20917,0.05556,0.08333,0.18182,0.0,0.78327
152,4,0,0.35,2,0.05,8475,0.22816,0.05556,0.1,0.2,0.51209,0.0683
153,4,0,0.35,2,0.35,8475,0.22816,0.05556,0.1,0.2,0.77796,0.20002
154,4,0,0.35,2,0.65,8475,0.22816,0.05556,0.1,0.2,0.94222,0.94746
155,4,0,0.35,2,0.95,8475,0.22816,0.05556,0.1,0.2,0.0,0.78393
156,4,0,0.35,3,0.05,6100,0.27903,0.0625,0.11765,0.25,0.56865,0.06688
157,4,0,0.35,3,0.35,6100,0.27903,0.0625,0.11765,0.25,0.82106,0.19952
158,4,0,0.35,3,0.65,6100,0.27903,0.0625,0.11765,0.25,0.94457,0.94787
159,4,0,0.35,3,0.95,6100,0.27903,0.0625,0.11765,0.25,0.0,0.78393
160,4,0,0.65,0,0.05,1320,0.6455,0.15385,1.0,1.0,0.67916,0.26504
161,4,0,0.65,0,0.35,1320,0.6455,0.15385,1.0,1.0,0.75325,0.55032
162,4,0,0.65,0,0.65,1320,0.6455,0.15385,1.0,1.0,0.74074,0.95397
163,4,0,0.65,0,0.95,1320,0.6455,0.15385,1.0,1.0,0.0,0.77995
164,4,0,0.65,1,0.05,1351,0.63722,0.15,1.0,1.0,0.68531,0.19069
165,4,0,0.65,1,0.35,1351,0.63722,0.15,1.0,1.0,0.75969,0.4513
166,4,0,0.65,1,0.65,1351,0.63722,0.15,1.0,1.0,0.74736,0.95081
167,4,0,0.65,1,0.95,1351,0.63722,0.15,1.0,1.0,0.0,0.77796
168,4,0,0.65,2,0.05,1421,0.64291,0.15,1.0,1.0,0.73451,0.19997
169,4,0,0.65,2,0.35,1421,0.64291,0.15,1.0,1.0,0.81773,0.46747
170,4,0,0.65,2,0.65,1421,0.64291,0.15,1.0,1.0,0.80402,0.95238
171,4,0,0.65,2,0.95,1421,0.64291,0.15,1.0,1.0,0.0,0.77896
172,4,0,0.65,3,0.05,1180,0.74951,0.3009,1.0,1.0,0.79195,0.2419
173,4,0,0.65,3,0.35,1180,0.74951,0.3009,1.0,1.0,0.84892,0.53369
174,4,0,0.65,3,0.65,1180,0.74951,0.3009,1.0,1.0,0.83333,0.94969
175,4,0,0.65,3,0.95,1180,0.74951,0.3009,1.0,1.0,0.0,0.78029
176,4,0,0.95,0,0.05,0,1.0,1.0,1.0,1.0,0.01666,0.24315
177,4,0,0.95,0,0.35,0,1.0,1.0,1.0,1.0,0.01666,0.25132
178,4,0,0.95,0,0.65,0,1.0,1.0,1.0,1.0,0.01666,0.25754
179,4,0,0.95,0,0.95,0,1.0,1.0,1.0,1.0,0.0,0.19537
180,4,0,0.95,1,0.05,0,1.0,1.0,1.0,1.0,0.01666,0.23526
181,4,0,0.95,1,0.35,0,1.0,1.0,1.0,1.0,0.01666,0.24755
182,4,0,0.95,1,0.65,0,1.0,1.0,1.0,1.0,0.01666,0.26054
183,4,0,0.95,1,0.95,0,1.0,1.0,1.0,1.0,0.0,0.19537
184,4,0,0.95,2,0.05,0,1.0,1.0,1.0,1.0,0.01666,0.23526
185,4,0,0.95,2,0.35,0,1.0,1.0,1.0,1.0,0.01666,0.24755
186,4,0,0.95,2,0.65,0,1.0,1.0,1.0,1.0,0.01666,0.26054
187,4,0,0.95,2,0.95,0,1.0,1.0,1.0,1.0,0.0,0.19537
188,4,0,0.95,3,0.05,0,1.0,1.0,1.0,1.0,0.01666,0.33429
189,4,0,0.95,3,0.35,0,1.0,1.0,1.0,1.0,0.01666,0.35624
190,4,0,0.95,3,0.65,0,1.0,1.0,1.0,1.0,0.01666,0.37262
191,4,0,0.95,3,0.95,0,1.0,1.0,1.0,1.0,0.0,0.28836
