,pf,block clean threshold,weighting schema,matching threshold,stop count,av sim,sim q1,sim q2,sim q3,sample f-score,f-score
214,0,0.6125,3,0.8375,543,0.83639,1.0,1.0,1.0,0.0,0.88071
215,0,0.6125,3,0.95,543,0.83639,1.0,1.0,1.0,0.0,0.74087
216,0,0.725,0,0.05,288,0.62019,0.16667,1.0,1.0,0.18572,0.54185
217,0,0.725,0,0.1625,288,0.62019,0.16667,1.0,1.0,0.19259,0.65029
218,0,0.725,0,0.275,288,0.62019,0.16667,1.0,1.0,0.19403,0.66352
219,0,0.725,0,0.3875,288,0.62019,0.16667,1.0,1.0,0.19697,0.70129
220,0,0.725,0,0.5,288,0.62019,0.16667,1.0,1.0,0.19697,0.72821
221,0,0.725,0,0.6125,288,0.62019,0.16667,1.0,1.0,0.19011,0.73661
222,0,0.725,0,0.725,288,0.62019,0.16667,1.0,1.0,0.0,0.73865
223,0,0.725,0,0.8375,288,0.62019,0.16667,1.0,1.0,0.0,0.70154
224,0,0.725,0,0.95,288,0.62019,0.16667,1.0,1.0,0.0,0.57673
225,0,0.725,1,0.05,414,0.56422,0.14359,0.5,1.0,0.21917,0.53708
226,0,0.725,1,0.1625,414,0.56422,0.14359,0.5,1.0,0.23021,0.55181
227,0,0.725,1,0.275,414,0.56422,0.14359,0.5,1.0,0.23188,0.55923
228,0,0.725,1,0.3875,414,0.56422,0.14359,0.5,1.0,0.23703,0.5716
229,0,0.725,1,0.5,414,0.56422,0.14359,0.5,1.0,0.23703,0.58687
230,0,0.725,1,0.6125,414,0.56422,0.14359,0.5,1.0,0.23049,0.59188
231,0,0.725,1,0.725,414,0.56422,0.14359,0.5,1.0,0.0,0.59234
232,0,0.725,1,0.8375,414,0.56422,0.14359,0.5,1.0,0.0,0.55951
233,0,0.725,1,0.95,414,0.56422,0.14359,0.5,1.0,0.0,0.45577
234,0,0.725,2,0.05,393,0.57193,0.15385,0.5,1.0,0.20833,0.66636
235,0,0.725,2,0.1625,393,0.57193,0.15385,0.5,1.0,0.21818,0.70127
236,0,0.725,2,0.275,393,0.57193,0.15385,0.5,1.0,0.21978,0.71432
237,0,0.725,2,0.3875,393,0.57193,0.15385,0.5,1.0,0.22388,0.73644
238,0,0.725,2,0.5,393,0.57193,0.15385,0.5,1.0,0.22388,0.75737
239,0,0.725,2,0.6125,393,0.57193,0.15385,0.5,1.0,0.21723,0.76403
240,0,0.725,2,0.725,393,0.57193,0.15385,0.5,1.0,0.0,0.77174
241,0,0.725,2,0.8375,393,0.57193,0.15385,0.5,1.0,0.0,0.7345
242,0,0.725,2,0.95,393,0.57193,0.15385,0.5,1.0,0.0,0.61214
243,0,0.725,3,0.05,393,0.57193,0.15385,0.5,1.0,0.20833,0.58421
244,0,0.725,3,0.1625,393,0.57193,0.15385,0.5,1.0,0.21818,0.68173
245,0,0.725,3,0.275,393,0.57193,0.15385,0.5,1.0,0.21978,0.70959
246,0,0.725,3,0.3875,393,0.57193,0.15385,0.5,1.0,0.22388,0.74837
247,0,0.725,3,0.5,393,0.57193,0.15385,0.5,1.0,0.22388,0.78703
248,0,0.725,3,0.6125,393,0.57193,0.15385,0.5,1.0,0.21723,0.79763
249,0,0.725,3,0.725,393,0.57193,0.15385,0.5,1.0,0.0,0.80442
250,0,0.725,3,0.8375,393,0.57193,0.15385,0.5,1.0,0.0,0.76881
251,0,0.725,3,0.95,393,0.57193,0.15385,0.5,1.0,0.0,0.63995
252,0,0.8375,0,0.05,70,0.69444,0.16667,1.0,1.0,0.04838,0.37742
253,0,0.8375,0,0.1625,70,0.69444,0.16667,1.0,1.0,0.04877,0.40984
254,0,0.8375,0,0.275,70,0.69444,0.16667,1.0,1.0,0.04877,0.41446
255,0,0.8375,0,0.3875,70,0.69444,0.16667,1.0,1.0,0.04917,0.4223
256,0,0.8375,0,0.5,70,0.69444,0.16667,1.0,1.0,0.04917,0.42912
257,0,0.8375,0,0.6125,70,0.69444,0.16667,1.0,1.0,0.04116,0.43259
258,0,0.8375,0,0.725,70,0.69444,0.16667,1.0,1.0,0.0,0.43268
259,0,0.8375,0,0.8375,70,0.69444,0.16667,1.0,1.0,0.0,0.40459
260,0,0.8375,0,0.95,70,0.69444,0.16667,1.0,1.0,0.0,0.32064
261,0,0.8375,1,0.05,70,0.69444,0.16667,1.0,1.0,0.04838,0.16762
262,0,0.8375,1,0.1625,70,0.69444,0.16667,1.0,1.0,0.04877,0.16809
263,0,0.8375,1,0.275,70,0.69444,0.16667,1.0,1.0,0.04877,0.16844
264,0,0.8375,1,0.3875,70,0.69444,0.16667,1.0,1.0,0.04917,0.16851
265,0,0.8375,1,0.5,70,0.69444,0.16667,1.0,1.0,0.04917,0.16885
266,0,0.8375,1,0.6125,70,0.69444,0.16667,1.0,1.0,0.04116,0.16926
267,0,0.8375,1,0.725,70,0.69444,0.16667,1.0,1.0,0.0,0.16955
268,0,0.8375,1,0.8375,70,0.69444,0.16667,1.0,1.0,0.0,0.15894
269,0,0.8375,1,0.95,70,0.69444,0.16667,1.0,1.0,0.0,0.12162
