,q-gram size,blocking threshold,match threshold,precision,recall,f-score,acc
214,4,0.3,0.07,0.47605,0.8804,0.61796,0.81938
215,5,0.3,0.07,0.65298,0.91547,0.76226,0.81776
216,4,0.3,0.08,0.49582,0.8804,0.63438,0.83162
217,5,0.3,0.08,0.6715,0.91547,0.77473,0.8301
218,4,0.3,0.09,0.51069,0.8804,0.64642,0.8402
219,5,0.3,0.09,0.6846,0.91547,0.78338,0.83843
220,4,0.3,0.1,0.52353,0.8804,0.65661,0.84721
221,5,0.3,0.1,0.69464,0.91547,0.78991,0.8446
222,4,0.3,0.11,0.5289,0.8804,0.66082,0.85004
223,5,0.3,0.11,0.70086,0.91547,0.79392,0.84833
224,4,0.3,0.12,0.5357,0.8804,0.6661,0.85355
225,5,0.3,0.12,0.70916,0.91547,0.79922,0.85321
226,4,0.3,0.13,0.53999,0.8804,0.6694,0.85571
227,5,0.3,0.13,0.71414,0.91547,0.80237,0.85608
228,4,0.3,0.14,0.54344,0.8804,0.67205,0.85743
229,5,0.3,0.14,0.71918,0.91547,0.80554,0.85895
230,4,0.3,0.15,0.54831,0.8804,0.67576,0.85982
231,5,0.3,0.15,0.72301,0.91547,0.80794,0.8611
232,4,0.3,0.16,0.55186,0.8804,0.67845,0.86153
233,5,0.3,0.16,0.72688,0.91547,0.81035,0.86325
234,4,0.3,0.17,0.55515,0.8804,0.68093,0.8631
235,5,0.3,0.17,0.73001,0.91547,0.81229,0.86497
236,4,0.3,0.18,0.55752,0.8804,0.68271,0.86422
237,5,0.3,0.18,0.73132,0.91547,0.8131,0.86569
238,4,0.3,0.19,0.55927,0.8804,0.68402,0.86504
239,5,0.3,0.19,0.73211,0.91547,0.81359,0.86612
240,4,0.3,0.2,0.56232,0.8804,0.6863,0.86646
241,5,0.3,0.2,0.73581,0.91547,0.81587,0.86813
242,4,0.3,0.21,0.56362,0.8804,0.68726,0.86705
243,5,0.3,0.21,0.73715,0.91547,0.81669,0.86885
244,4,0.3,0.22,0.56459,0.8804,0.68798,0.8675
245,5,0.3,0.22,0.73875,0.91547,0.81767,0.86971
246,4,0.3,0.23,0.56541,0.8804,0.68859,0.86788
247,5,0.3,0.23,0.73929,0.91547,0.818,0.87
248,4,0.3,0.24,0.56671,0.8804,0.68956,0.86847
249,5,0.3,0.24,0.74117,0.91547,0.81915,0.871
250,4,0.3,0.25,0.56886,0.8804,0.69114,0.86944
251,5,0.3,0.25,0.74361,0.91547,0.82064,0.87229
252,4,0.3,0.26,0.57151,0.8804,0.6931,0.87064
253,5,0.3,0.26,0.74497,0.91547,0.82147,0.87301
254,4,0.3,0.27,0.57335,0.8804,0.69445,0.87146
255,5,0.3,0.27,0.74579,0.91547,0.82196,0.87344
256,4,0.3,0.28,0.57419,0.8804,0.69506,0.87183
257,5,0.3,0.28,0.74661,0.91547,0.82246,0.87387
258,4,0.3,0.29,0.5747,0.8804,0.69544,0.87205
259,5,0.3,0.29,0.7477,0.91547,0.82312,0.87444
260,4,0.3,0.3,0.57537,0.8804,0.69593,0.87235
261,5,0.3,0.3,0.74825,0.91547,0.82346,0.87473
262,4,0.3,0.31,0.5769,0.8804,0.69705,0.87302
263,5,0.3,0.31,0.75018,0.91547,0.82462,0.87574
264,4,0.3,0.32,0.57741,0.8804,0.69742,0.87325
265,5,0.3,0.32,0.75101,0.91547,0.82512,0.87617
266,4,0.3,0.33,0.57929,0.8804,0.69879,0.87407
267,5,0.3,0.33,0.75352,0.91547,0.82664,0.87746
268,4,0.3,0.34,0.66037,0.8804,0.75467,0.90503
269,5,0.3,0.34,0.79099,0.91547,0.84869,0.89582
270,4,0.3,0.35,0.68152,0.8804,0.7683,0.91189
271,5,0.3,0.35,0.80063,0.91547,0.85421,0.90027
272,4,0.3,0.36,0.7499,0.8804,0.80993,0.93144
273,5,0.3,0.36,0.83855,0.91547,0.87532,0.91677
274,4,0.3,0.37,0.78508,0.8804,0.83001,0.94017
275,5,0.3,0.37,0.85654,0.91547,0.88503,0.92409
276,4,0.3,0.38,0.81993,0.8804,0.84909,0.94808
277,5,0.3,0.38,0.87083,0.91547,0.89259,0.92969
278,4,0.3,0.39,0.84983,0.8804,0.86484,0.95434
279,5,0.3,0.39,0.88599,0.91547,0.90049,0.93543
280,4,0.3,0.4,0.87333,0.8804,0.87685,0.95897
