,q size,pf,block clean threshold,weighting schema,matching threshold,f-score
314,5,0,0.95,2,0.65,0.84745
315,5,0,0.95,2,0.95,0.82081
316,5,0,0.95,3,0.05,0.51632
317,5,0,0.95,3,0.35,0.64325
318,5,0,0.95,3,0.65,0.80742
319,5,0,0.95,3,0.95,0.79365
320,5,1,0.05,0,0.05,0.32492
321,5,1,0.05,0,0.35,0.60793
322,5,1,0.05,0,0.65,0.95774
323,5,1,0.05,0,0.95,0.78537
324,5,1,0.05,1,0.05,0.24763
325,5,1,0.05,1,0.35,0.51044
326,5,1,0.05,1,0.65,0.95277
327,5,1,0.05,1,0.95,0.78538
328,5,1,0.05,2,0.05,0.22527
329,5,1,0.05,2,0.35,0.48806
330,5,1,0.05,2,0.65,0.95205
331,5,1,0.05,2,0.95,0.78498
332,5,1,0.05,3,0.05,0.23818
333,5,1,0.05,3,0.35,0.51636
334,5,1,0.05,3,0.65,0.95267
335,5,1,0.05,3,0.95,0.78498
336,5,1,0.35,0,0.05,0.98066
337,5,1,0.35,0,0.35,0.98787
338,5,1,0.35,0,0.65,0.99107
339,5,1,0.35,0,0.95,0.77651
340,5,1,0.35,1,0.05,0.97138
341,5,1,0.35,1,0.35,0.98355
342,5,1,0.35,1,0.65,0.99007
343,5,1,0.35,1,0.95,0.77224
344,5,1,0.35,2,0.05,0.96882
345,5,1,0.35,2,0.35,0.98399
346,5,1,0.35,2,0.65,0.99011
347,5,1,0.35,2,0.95,0.77682
348,5,1,0.35,3,0.05,0.97669
349,5,1,0.35,3,0.35,0.98553
350,5,1,0.35,3,0.65,0.99268
351,5,1,0.35,3,0.95,0.79798
352,5,1,0.65,0,0.05,0.99774
353,5,1,0.65,0,0.35,0.99774
354,5,1,0.65,0,0.65,0.99319
355,5,1,0.65,0,0.95,0.77562
356,5,1,0.65,1,0.05,0.99774
357,5,1,0.65,1,0.35,0.99774
358,5,1,0.65,1,0.65,0.99319
359,5,1,0.65,1,0.95,0.77562
360,5,1,0.65,2,0.05,0.9981
361,5,1,0.65,2,0.35,0.9981
362,5,1,0.65,2,0.65,0.99427
363,5,1,0.65,2,0.95,0.7757
364,5,1,0.65,3,0.05,0.99953
365,5,1,0.65,3,0.35,0.99953
366,5,1,0.65,3,0.65,0.99861
367,5,1,0.65,3,0.95,0.82763
368,5,1,0.95,0,0.05,1.0
369,5,1,0.95,0,0.35,1.0
370,5,1,0.95,0,0.65,0.99291
371,5,1,0.95,0,0.95,0.73214
372,5,1,0.95,1,0.05,1.0
373,5,1,0.95,1,0.35,1.0
374,5,1,0.95,1,0.65,0.99291
375,5,1,0.95,1,0.95,0.73214
376,5,1,0.95,2,0.05,1.0
377,5,1,0.95,2,0.35,1.0
378,5,1,0.95,2,0.65,0.99386
379,5,1,0.95,2,0.95,0.75758
380,5,1,0.95,3,0.05,1.0
381,5,1,0.95,3,0.35,1.0
382,5,1,0.95,3,0.65,0.99678
383,5,1,0.95,3,0.95,0.81818
