sampling,invalid_value,missing_value,floating_point,unit_converter,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,class_imbalance_ratio,corr_race,ot_race,corr_gender,ot_gender,corr_loan_type,ot_loan_type,corr_applicant_age,ot_applicant_age,corr_lien_status,ot_lien_status,corr_LV,ot_LV,corr_DI,ot_DI,corr_income_brackets,ot_income_brackets,utility_accuracy_score
2.0,3.0,9.0,4.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,0.1761658031088082,0.1761658031088082,14.4,476.46,0.24,45.0,0.36,256.99,0.4,2201.63,0.33,476.45,0.01,2184.48,0.36,256.99,0.36,2202.14,0.23,0.1493506493506493
1.0,2.0,2.0,1.0,2.0,5.0,4.0,2.0,2.0,2.0,1.0,1.0,0.2877138413685847,0.286158631415241,8.518518518518519,3869.94,0.14,152.65,1.0,636.64,0.34,576.04,0.35,3870.15,0.08,167.77,0.51,636.64,0.24,402.2,0.27,0.1070038910505836
2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,0.1618497109826589,0.1618497109826589,15.0,9.53,0.27,44.08,0.36,427.76,0.35,164.22,0.36,9.53,1.0,612.9,0.35,427.76,0.2,407.66,0.21,0.2013888888888888
2.0,1.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,0.160621761658031,0.1658031088082901,18.25,273.76,0.44,929.14,0.34,591.09,0.38,221.43,0.32,2792.25,1.0,265.12,0.36,591.09,0.18,88.29,0.23,0.1038961038961039
1.0,2.0,1.0,2.0,1.0,5.0,5.0,1.0,1.0,2.0,2.0,1.0,0.2947154471544715,0.290650406504065,9.076923076923077,2779.02,0.14,145.44,1.0,483.06,0.3,450.18,0.31,2779.15,0.02,138.55,0.48,483.05,0.4,375.06,0.24,0.1068702290076335
2.0,1.0,6.0,2.0,1.0,4.0,7.0,1.0,2.0,1.0,1.0,1.0,0.1709844559585492,0.1709844559585492,11.833333333333334,363.92,0.1,65.68,1.0,173.82,0.33,1414.25,0.36,363.91,0.01,1564.82,0.25,173.82,0.3,1172.18,0.27,0.1428571428571429
1.0,1.0,1.0,3.0,2.0,5.0,4.0,2.0,2.0,2.0,1.0,1.0,0.2179930795847751,0.2179930795847751,10.55,4182.55,0.17,151.29,1.0,692.32,0.34,4.77,0.34,4182.77,0.01,6.59,0.21,692.32,0.23,2776.18,0.27,0.106060606060606
1.0,1.0,8.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.2177293934681182,0.2177293934681182,13.27777777777778,38.64,0.21,205.82,1.0,1802.42,0.39,1.72,0.32,38.64,1.0,2230.86,0.37,1802.42,0.74,976.25,0.24,0.169260700389105
2.0,4.0,3.0,4.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,0.3056994818652849,0.3056994818652849,14.0,3226.2,0.37,138.02,0.34,153.74,0.35,131.49,0.35,3226.2,0.0,158.67,0.36,153.74,0.21,153.27,0.17,0.1055555555555555
2.0,1.0,7.0,4.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,0.1813471502590673,0.1865284974093264,14.4,326.75,0.37,880.02,0.36,511.68,0.45,192.02,0.34,2203.2,1.0,246.6,0.37,511.68,0.36,80.82,0.23,0.1948051948051947
2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.3246753246753247,0.3246753246753247,11.833333333333334,121.36,0.17,121.36,0.38,121.36,0.37,121.36,0.34,121.36,0.02,121.36,0.36,121.36,0.21,121.36,0.24,0.1688311688311687
1.0,1.0,4.0,2.0,2.0,5.0,5.0,2.0,1.0,1.0,2.0,1.0,0.2161741835147745,0.2177293934681182,9.489795918367347,3992.65,0.15,179.05,1.0,669.98,0.35,3.26,0.36,3992.83,0.02,7.02,0.19,669.98,0.43,2786.13,0.26,0.103112840466926
1.0,2.0,7.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,0.2317262830482115,0.2317262830482115,10.173913043478262,55.86,0.07,174.47,1.0,1718.64,0.35,627.42,0.34,55.86,0.02,2316.83,0.3,1718.64,0.24,982.8,0.11,0.1478599221789883
2.0,2.0,7.0,4.0,2.0,1.0,6.0,1.0,2.0,1.0,2.0,1.0,0.2435233160621761,0.2435233160621761,16.11111111111111,10.73,0.27,44.49,0.34,461.92,0.38,202.97,0.36,10.73,0.04,682.44,0.36,461.92,0.35,478.33,0.16,0.2077922077922077
1.0,3.0,6.0,2.0,1.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,0.208398133748056,0.208398133748056,9.708333333333334,306.83,0.15,414.97,1.0,379.95,0.33,362.29,0.36,306.83,0.02,391.16,0.19,379.95,0.43,396.59,0.27,0.103112840466926
2.0,2.0,8.0,3.0,1.0,2.0,6.0,2.0,1.0,1.0,1.0,1.0,0.2279792746113989,0.233160621761658,16.11111111111111,2829.98,0.24,123.09,0.34,142.9,0.33,123.03,0.38,2829.95,0.05,145.92,0.27,142.9,0.19,130.75,0.19,0.1883116883116883
2.0,1.0,9.0,2.0,1.0,1.0,8.0,1.0,2.0,1.0,2.0,1.0,0.1761658031088082,0.1761658031088082,14.4,13.13,0.12,43.31,0.35,446.72,0.44,197.71,0.33,13.13,0.06,734.24,0.55,446.72,0.53,387.98,0.19,0.1818181818181817
2.0,4.0,3.0,1.0,1.0,1.0,5.0,2.0,2.0,2.0,1.0,1.0,0.310880829015544,0.310880829015544,16.11111111111111,9.5,0.25,42.8,0.34,473.68,0.41,188.96,0.35,9.5,1.0,598.67,0.18,473.68,0.6,392.09,0.18,0.2207792207792207
2.0,1.0,1.0,3.0,2.0,5.0,1.0,1.0,2.0,2.0,1.0,1.0,0.1676300578034682,0.1618497109826589,12.307692307692308,1636.86,0.27,47.72,0.36,295.13,0.35,3.67,0.38,1636.92,0.02,1.71,0.23,295.13,0.21,1168.42,0.27,0.2312138728323699
2.0,2.0,7.0,3.0,1.0,2.0,5.0,1.0,1.0,1.0,2.0,1.0,0.2435233160621761,0.238341968911917,11.833333333333334,2044.03,0.19,129.42,0.38,114.27,0.31,113.13,0.37,2044.02,0.02,126.68,0.34,114.27,0.19,147.81,0.21,0.1558441558441559
2.0,1.0,5.0,2.0,1.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,0.1709844559585492,0.1761658031088082,16.11111111111111,307.24,0.28,903.65,0.35,530.13,0.35,188.96,0.35,2465.0,1.0,272.28,0.37,530.13,0.2,72.97,0.18,0.1948051948051947
