sampling,invalid_value,missing_value,floating_point,unit_converter,distribution_shape,multicollinearity,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,class_imbalance_ratio,corr_race,ot_race,corr_gender,ot_gender,corr_loan_type,ot_loan_type,corr_applicant_age,ot_applicant_age,corr_lien_status,ot_lien_status,corr_LV,ot_LV,corr_DI,ot_DI,corr_income_brackets,ot_income_brackets,utility_accuracy_score
2.0,1.0,6.0,3.0,2.0,3.0,1.0,2.0,8.0,2.0,1.0,1.0,2.0,1.0,0.2279792746113989,0.2227979274611398,10.0,221.69,0.29,148.9,1.0,142.76,0.23,166.19,0.35,120.99,0.1,221.69,0.36,142.76,0.23,114.29,0.17,0.1428571428571429
2.0,1.0,5.0,4.0,2.0,1.0,1.0,4.0,6.0,1.0,2.0,1.0,2.0,1.0,0.2124352331606217,0.2124352331606217,13.0,1609.45,0.29,40.57,0.35,1187.34,0.33,1713.68,0.34,1322.65,0.06,1609.45,0.21,1187.34,0.27,183.78,0.18,0.1623376623376623
2.0,3.0,3.0,4.0,2.0,3.0,1.0,4.0,5.0,1.0,2.0,1.0,2.0,1.0,0.2176165803108808,0.2176165803108808,16.11111111111111,3.13,0.31,53.45,0.38,0.26,0.24,0.26,0.36,6.7,0.01,3.13,0.31,0.26,0.24,82.22,0.19,0.1883116883116883
2.0,1.0,7.0,4.0,2.0,3.0,1.0,1.0,7.0,2.0,2.0,1.0,2.0,1.0,0.2279792746113989,0.2279792746113989,10.846153846153848,11406.62,0.31,37.08,0.36,11407.13,0.21,11406.62,0.34,11224.96,0.07,11407.43,0.31,11406.65,0.21,122.01,0.23,0.2077922077922077
2.0,1.0,9.0,3.0,1.0,1.0,1.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,0.1865284974093264,0.1865284974093264,18.25,1.01,0.32,52.96,0.36,11.66,0.28,2.03,0.34,13.51,0.1,1.01,0.19,11.66,0.23,285.57,0.21,0.1818181818181817
2.0,1.0,8.0,4.0,2.0,2.0,1.0,5.0,5.0,2.0,1.0,2.0,2.0,1.0,0.2176165803108808,0.2176165803108808,14.5,2.7,0.34,48.35,0.37,0.42,0.26,0.06,0.36,1.73,0.06,2.7,0.34,0.42,0.26,84.15,0.23,0.2193548387096774
1.0,4.0,2.0,3.0,2.0,2.0,1.0,3.0,5.0,2.0,1.0,2.0,1.0,1.0,0.3125972006220839,0.2970451010886469,9.936170212765957,2716.85,0.4,2745.84,1.0,27.36,0.26,597.13,0.34,5004.63,0.11,30.69,0.31,644.4,0.51,281.19,0.25,0.103112840466926
2.0,3.0,4.0,4.0,2.0,3.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,0.2176165803108808,0.2124352331606217,14.4,142.35,0.34,118.13,0.34,146.31,0.16,130.62,0.38,157.07,0.03,142.35,0.1,146.31,0.24,133.61,0.21,0.2207792207792207
2.0,1.0,7.0,4.0,2.0,2.0,1.0,2.0,7.0,1.0,1.0,2.0,2.0,1.0,0.2227979274611398,0.2227979274611398,10.0,173.32,0.29,148.9,1.0,142.77,0.22,147.99,0.36,122.43,0.1,173.32,0.29,142.77,0.22,113.32,0.18,0.2402597402597402
2.0,1.0,5.0,2.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,2.0,1.0,1.0,0.2279792746113989,0.238341968911917,18.25,3.74,0.3,67.07,1.0,0.06,0.23,0.07,0.36,0.24,0.07,3.74,0.3,0.06,0.23,250.96,0.19,0.2077922077922077
2.0,3.0,7.0,4.0,1.0,3.0,1.0,2.0,8.0,1.0,2.0,1.0,1.0,1.0,0.2279792746113989,0.2072538860103626,10.0,221.69,0.29,152.22,1.0,133.58,0.23,166.19,0.35,121.27,0.1,221.69,0.36,133.58,0.23,112.84,0.17,0.1428571428571429
2.0,3.0,8.0,4.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.2176165803108808,0.2176165803108808,14.4,24726559.64,0.27,35.34,0.32,24704288.16,0.34,11403.54,0.34,1138665.85,0.11,24726559.69,0.27,24704288.15,0.34,239.79,0.2,0.1168831168831169
