2025-10-01 01:19:24,465 - INFO - pipeline[1. 1. 1.]
2025-10-01 01:19:24,465 - INFO - [GS2] Start. Target utility = 0.050000
2025-10-01 01:30:58,794 - DEBUG - [GS2] A | iter=98 | order=['normalization', 'missing_value', 'model'] | vec=[5, 4, 1] | utility=0.190211
2025-10-01 01:30:59,384 - DEBUG - [GS2] A | iter=99 | order=['missing_value', 'normalization', 'model'] | vec=[7, 3, 1] | utility=0.165875
2025-10-01 01:30:59,798 - DEBUG - [GS2] A | iter=100 | order=['missing_value', 'normalization', 'model'] | vec=[7, 4, 1] | utility=0.192772
2025-10-01 01:31:00,234 - DEBUG - [GS2] A | iter=101 | order=['normalization', 'missing_value', 'model'] | vec=[5, 6, 1] | utility=0.204364
2025-10-01 01:31:00,520 - DEBUG - [GS2] A | iter=102 | order=['missing_value', 'normalization', 'model'] | vec=[7, 2, 1] | utility=0.193633
2025-10-01 01:31:01,240 - DEBUG - [GS2] A | iter=103 | order=['missing_value', 'normalization', 'model'] | vec=[4, 4, 1] | utility=0.200345
2025-10-01 01:31:01,868 - DEBUG - [GS2] A | iter=104 | order=['normalization', 'missing_value', 'model'] | vec=[1, 7, 1] | utility=0.112796
2025-10-01 01:31:02,278 - DEBUG - [GS2] A | iter=105 | order=['normalization', 'missing_value', 'model'] | vec=[5, 5, 1] | utility=0.201699
2025-10-01 01:31:03,171 - DEBUG - [GS2] B | iter=106 | order=['whitespace', 'deduplication', 'normalization', 'punctuation', 'missing_value', 'stopword', 'outlier', 'model'] | vec=[1, 2, 4, 1, 8, 1, 1, 1] | utility=-0.000001
2025-10-01 01:31:03,171 - INFO - [GS2] 🎯 Achieved at iter=106, utility=-0.000001
2025-10-01 01:31:03,171 - INFO - pipeline[1. 2. 1.]
2025-10-01 01:31:03,171 - INFO - [GS2] Start. Target utility = 0.050000
2025-10-01 01:31:03,171 - INFO - [GS2] Reusing cache: 105 candidates
2025-10-01 01:31:03,171 - INFO - [GS2] Reusing cache: 41005993 candidates
2025-10-01 01:34:20,005 - INFO - [GS2] Initial utility = 0.202174
2025-10-01 01:34:20,005 - DEBUG - [GS2] A | iter=1 | order=['missing_value', 'normalization', 'model'] | vec=[4, 4, 1] | utility=0.202174
2025-10-01 01:34:20,449 - DEBUG - [GS2] A | iter=2 | order=['normalization', 'missing_value', 'model'] | vec=[4, 8, 1] | utility=0.203603
2025-10-01 01:34:20,887 - DEBUG - [GS2] A | iter=3 | order=['missing_value', 'normalization', 'model'] | vec=[3, 5, 1] | utility=0.202366
2025-10-01 01:34:21,444 - DEBUG - [GS2] A | iter=4 | order=['normalization', 'missing_value', 'model'] | vec=[1, 8, 1] | utility=0.099049
2025-10-01 01:34:21,768 - DEBUG - [GS2] A | iter=5 | order=['missing_value', 'model'] | vec=[8, 1] | utility=0.108036
2025-10-01 01:34:22,227 - DEBUG - [GS2] A | iter=6 | order=['normalization', 'missing_value', 'model'] | vec=[5, 2, 1] | utility=0.196130
2025-10-01 01:34:22,904 - DEBUG - [GS2] A | iter=7 | order=['normalization', 'model'] | vec=[1, 1] | utility=0.093416
2025-10-01 01:34:23,675 - DEBUG - [GS2] A | iter=8 | order=['normalization', 'missing_value', 'model'] | vec=[1, 6, 1] | utility=0.080643
2025-10-01 01:34:24,148 - DEBUG - [GS2] A | iter=9 | order=['normalization', 'missing_value', 'model'] | vec=[4, 5, 1] | utility=0.204146
2025-10-01 01:34:24,472 - DEBUG - [GS2] A | iter=10 | order=['missing_value', 'model'] | vec=[7, 1] | utility=0.092838
2025-10-01 01:34:24,809 - DEBUG - [GS2] A | iter=11 | order=['missing_value', 'normalization', 'model'] | vec=[8, 2, 1] | utility=0.194918
2025-10-01 01:34:25,105 - DEBUG - [GS2] A | iter=12 | order=['missing_value', 'normalization', 'model'] | vec=[7, 2, 1] | utility=0.195342
2025-10-01 01:34:25,540 - DEBUG - [GS2] A | iter=13 | order=['normalization', 'missing_value', 'model'] | vec=[4, 2, 1] | utility=0.199174
2025-10-01 01:34:26,165 - DEBUG - [GS2] A | iter=14 | order=['missing_value', 'normalization', 'model'] | vec=[1, 1, 1] | utility=0.114754
2025-10-01 01:34:26,451 - DEBUG - [GS2] A | iter=15 | order=['missing_value', 'normalization', 'model'] | vec=[4, 2, 1] | utility=0.196026
2025-10-01 01:34:26,907 - DEBUG - [GS2] A | iter=16 | order=['missing_value', 'normalization', 'model'] | vec=[1, 4, 1] | utility=0.198492
2025-10-01 01:34:27,215 - DEBUG - [GS2] A | iter=17 | order=['normalization', 'missing_value', 'model'] | vec=[2, 4, 1] | utility=0.189276
2025-10-01 01:34:27,864 - DEBUG - [GS2] A | iter=18 | order=['normalization', 'missing_value', 'model'] | vec=[3, 2, 1] | utility=0.173181
2025-10-01 01:34:28,516 - DEBUG - [GS2] A | iter=19 | order=['normalization', 'missing_value', 'model'] | vec=[3, 3, 1] | utility=0.169472
2025-10-01 01:34:28,806 - DEBUG - [GS2] A | iter=20 | order=['missing_value', 'normalization', 'model'] | vec=[6, 2, 1] | utility=0.201194
2025-10-01 01:34:29,215 - DEBUG - [GS2] A | iter=21 | order=['missing_value', 'normalization', 'model'] | vec=[6, 4, 1] | utility=0.203671
2025-10-01 01:34:29,742 - DEBUG - [GS2] A | iter=22 | order=['normalization', 'missing_value', 'model'] | vec=[1, 9, 1] | utility=0.086297
2025-10-01 01:34:30,041 - DEBUG - [GS2] A | iter=23 | order=['missing_value', 'normalization', 'model'] | vec=[9, 2, 1] | utility=0.193033
2025-10-01 01:34:30,436 - DEBUG - [GS2] A | iter=24 | order=['missing_value', 'normalization', 'model'] | vec=[3, 4, 1] | utility=0.196499
